ArrayShape,11,5
AlongTrackInd,AcrossTrackInd,Latitude,Longitude,BEHRNO2apriori-00,BEHRNO2apriori-01,BEHRNO2apriori-02,BEHRNO2apriori-03,BEHRNO2apriori-04,BEHRNO2apriori-05,BEHRNO2apriori-06,BEHRNO2apriori-07,BEHRNO2apriori-08,BEHRNO2apriori-09,BEHRNO2apriori-10,BEHRNO2apriori-11,BEHRNO2apriori-12,BEHRNO2apriori-13,BEHRNO2apriori-14,BEHRNO2apriori-15,BEHRNO2apriori-16,BEHRNO2apriori-17,BEHRNO2apriori-18,BEHRNO2apriori-19,BEHRNO2apriori-20,BEHRNO2apriori-21,BEHRNO2apriori-22,BEHRNO2apriori-23,BEHRNO2apriori-24,BEHRNO2apriori-25,BEHRNO2apriori-26,BEHRNO2apriori-27,BEHRNO2apriori-28,BEHRNO2apriori-29,BEHRPressureLevels-00,BEHRPressureLevels-01,BEHRPressureLevels-02,BEHRPressureLevels-03,BEHRPressureLevels-04,BEHRPressureLevels-05,BEHRPressureLevels-06,BEHRPressureLevels-07,BEHRPressureLevels-08,BEHRPressureLevels-09,BEHRPressureLevels-10,BEHRPressureLevels-11,BEHRPressureLevels-12,BEHRPressureLevels-13,BEHRPressureLevels-14,BEHRPressureLevels-15,BEHRPressureLevels-16,BEHRPressureLevels-17,BEHRPressureLevels-18,BEHRPressureLevels-19,BEHRPressureLevels-20,BEHRPressureLevels-21,BEHRPressureLevels-22,BEHRPressureLevels-23,BEHRPressureLevels-24,BEHRPressureLevels-25,BEHRPressureLevels-26,BEHRPressureLevels-27,BEHRPressureLevels-28,BEHRPressureLevels-29,BEHRScatteringWeights-00,BEHRScatteringWeights-01,BEHRScatteringWeights-02,BEHRScatteringWeights-03,BEHRScatteringWeights-04,BEHRScatteringWeights-05,BEHRScatteringWeights-06,BEHRScatteringWeights-07,BEHRScatteringWeights-08,BEHRScatteringWeights-09,BEHRScatteringWeights-10,BEHRScatteringWeights-11,BEHRScatteringWeights-12,BEHRScatteringWeights-13,BEHRScatteringWeights-14,BEHRScatteringWeights-15,BEHRScatteringWeights-16,BEHRScatteringWeights-17,BEHRScatteringWeights-18,BEHRScatteringWeights-19,BEHRScatteringWeights-20,BEHRScatteringWeights-21,BEHRScatteringWeights-22,BEHRScatteringWeights-23,BEHRScatteringWeights-24,BEHRScatteringWeights-25,BEHRScatteringWeights-26,BEHRScatteringWeights-27,BEHRScatteringWeights-28,BEHRScatteringWeights-29,r,theta,BEHRSlantColumnAmountNO2Trop,ModelSCD
0,0,38.3014,-91.8472,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.273e-10,7.523e-10,6.903e-10,6.498e-10,6.477e-10,6.084e-10,4.886e-10,3.124e-10,2.184e-10,1.502e-10,9.83e-11,7.556e-11,6.243e-11,5.481e-11,4.802e-11,3.652e-11,3.188e-11,4.045e-11,5.252e-11,6.953e-11,4.023e-11,7.681e-11,2.399e-10,1020,1015,1010,1005,1000,990,980,979.8,970,960,945,944,925,900,875,850,825,800,770,740,700,660,610,560,500,450,400,350,280,200,1e-30,1e-30,1e-30,1e-30,1e-30,1e-30,1e-30,0.334,0.359,0.3852,0.4247,0.4475,0.4992,0.5694,0.6362,0.7059,0.7788,0.855,0.9391,1.028,1.15,1.27,1.426,1.584,1.774,1.933,2.094,2.254,2.477,2.707,1.763,-159.2,2.168e+15,2.365e+15
1,0,38.4218,-91.8689,NaN,NaN,NaN,NaN,NaN,NaN,8.556e-10,8.273e-10,7.5e-10,7.004e-10,6.641e-10,6.246e-10,5.553e-10,4.77e-10,3.438e-10,2.257e-10,1.491e-10,9.668e-11,7.466e-11,6.253e-11,5.523e-11,4.947e-11,3.766e-11,3.216e-11,4.021e-11,5.456e-11,7.229e-11,3.99e-11,7.019e-11,2.442e-10,1020,1015,1010,1005,1000,990,983.7,980,970,960,945,925,914,900,875,850,825,800,770,740,700,660,610,560,500,450,400,350,280,200,1e-30,1e-30,1e-30,1e-30,1e-30,1e-30,0.3363,0.3458,0.3715,0.3979,0.4377,0.4923,0.5246,0.5655,0.6325,0.7023,0.7755,0.8519,0.9362,1.025,1.148,1.268,1.424,1.583,1.773,1.932,2.093,2.253,2.477,2.707,1.744,-163.2,1.814e+15,2.391e+15
2,0,38.5422,-91.8905,NaN,NaN,NaN,NaN,NaN,NaN,9.223e-10,8.522e-10,7.231e-10,6.685e-10,6.281e-10,5.893e-10,5.34e-10,4.997e-10,3.883e-10,2.333e-10,1.488e-10,9.186e-11,7.213e-11,6.212e-11,5.542e-11,5.068e-11,3.866e-11,3.229e-11,4.001e-11,5.901e-11,7.63e-11,3.949e-11,6.368e-11,2.509e-10,1020,1015,1010,1005,1000,990,985.4,980,970,960,945,925,910,900,875,850,825,800,770,740,700,660,610,560,500,450,400,350,280,200,1e-30,1e-30,1e-30,1e-30,1e-30,1e-30,0.333,0.3466,0.3723,0.3987,0.4386,0.4932,0.5394,0.5691,0.636,0.7058,0.7789,0.8553,0.9396,1.029,1.152,1.271,1.427,1.586,1.776,1.934,2.096,2.256,2.48,2.709,1.734,-167.2,2.138e+15,2.404e+15
3,0,38.6627,-91.9121,NaN,NaN,NaN,NaN,NaN,NaN,1.028e-09,9.287e-10,7.647e-10,7.005e-10,6.478e-10,5.943e-10,5.161e-10,4.174e-10,4.006e-10,2.448e-10,1.494e-10,8.877e-11,7.134e-11,6.236e-11,5.556e-11,5.13e-11,3.919e-11,3.235e-11,4.03e-11,6.467e-11,8.086e-11,3.909e-11,6.111e-11,2.59e-10,1020,1015,1010,1005,1000,990,986,980,970,960,945,925,900,879,875,850,825,800,770,740,700,660,610,560,500,450,400,350,280,200,1e-30,1e-30,1e-30,1e-30,1e-30,1e-30,0.3194,0.3346,0.3604,0.3871,0.4272,0.4822,0.5535,0.6094,0.6208,0.6911,0.7647,0.8416,0.9265,1.016,1.14,1.26,1.417,1.577,1.768,1.928,2.09,2.251,2.477,2.707,1.733,-171.2,3.147e+15,2.427e+15
4,0,38.7831,-91.9338,NaN,NaN,NaN,NaN,NaN,NaN,8.876e-10,8.568e-10,7.23e-10,6.435e-10,5.953e-10,5.517e-10,4.85e-10,3.943e-10,2.668e-10,1.521e-10,1.489e-10,8.772e-11,7.18e-11,6.244e-11,5.506e-11,5.106e-11,3.966e-11,3.211e-11,4.101e-11,7.287e-11,8.73e-11,3.838e-11,6.172e-11,2.544e-10,1020,1015,1010,1005,1000,990,982.4,980,970,960,945,925,900,875,850,825,824,800,770,740,700,660,610,560,500,450,400,350,280,200,1e-30,1e-30,1e-30,1e-30,1e-30,1e-30,0.317,0.3231,0.3485,0.3748,0.4143,0.4684,0.5386,0.6053,0.6748,0.7476,0.7871,0.8606,0.945,1.034,1.157,1.277,1.432,1.592,1.781,1.939,2.1,2.26,2.485,2.712,1.74,-175.3,2.769e+15,2.382e+15
5,0,38.9036,-91.9555,NaN,NaN,NaN,NaN,NaN,NaN,1.086e-09,1.07e-09,8.573e-10,7.146e-10,6.469e-10,5.951e-10,5.116e-10,4.141e-10,2.856e-10,2.718e-10,1.523e-10,8.573e-11,7.18e-11,6.258e-11,5.453e-11,5.09e-11,4.034e-11,3.215e-11,4.115e-11,7.688e-11,9.021e-11,3.762e-11,6.374e-11,2.545e-10,1020,1015,1010,1005,1000,990,980.8,980,970,960,945,925,900,875,850,848,825,800,770,740,700,660,610,560,500,450,400,350,280,200,1e-30,1e-30,1e-30,1e-30,1e-30,1e-30,0.3332,0.3353,0.3595,0.3844,0.422,0.4736,0.5404,0.6039,0.6701,0.8133,0.8783,0.9518,1.033,1.119,1.237,1.352,1.502,1.655,1.838,1.99,2.145,2.299,2.515,2.732,1.756,-179.2,2.08e+15,2.528e+15
6,0,39.0240,-91.9771,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.14e-09,9.129e-10,7.367e-10,6.592e-10,6.065e-10,6.039e-10,5.234e-10,4.298e-10,3.02e-10,1.55e-10,8.472e-11,7.195e-11,6.278e-11,5.396e-11,5.061e-11,4.122e-11,3.251e-11,4.079e-11,8.091e-11,9.27e-11,3.671e-11,6.587e-11,2.52e-10,1020,1015,1010,1005,1000,990,980,979.3,970,960,945,926,925,900,875,850,825,800,770,740,700,660,610,560,500,450,400,350,280,200,1e-30,1e-30,1e-30,1e-30,1e-30,1e-30,1e-30,0.3835,0.4071,0.4332,0.4725,0.5236,0.5265,0.5963,0.6628,0.7321,0.8048,0.8807,0.9646,1.053,1.176,1.294,1.449,1.607,1.796,1.952,2.112,2.27,2.493,2.718,1.78,176.9,2.496e+15,2.602e+15
7,0,39.1445,-91.9988,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.166e-09,9.224e-10,7.195e-10,6.34e-10,5.831e-10,5.776e-10,5.269e-10,4.146e-10,2.903e-10,1.476e-10,8.381e-11,7.173e-11,6.248e-11,5.331e-11,5.039e-11,4.303e-11,3.357e-11,3.939e-11,8.658e-11,9.563e-11,3.595e-11,6.681e-11,2.458e-10,1020,1015,1010,1005,1000,990,980,979.2,970,960,945,927,925,900,875,850,825,800,770,740,700,660,610,560,500,450,400,350,280,200,1e-30,1e-30,1e-30,1e-30,1e-30,1e-30,1e-30,0.3961,0.4195,0.4455,0.4847,0.5328,0.5384,0.6081,0.6743,0.7434,0.8158,0.8915,0.9751,1.064,1.185,1.304,1.458,1.615,1.803,1.959,2.117,2.276,2.498,2.721,1.812,173.1,2.398e+15,2.615e+15
8,0,39.2649,-92.0204,NaN,NaN,NaN,NaN,NaN,NaN,1.037e-09,1.027e-09,8.07e-10,6.551e-10,5.893e-10,5.439e-10,5.416e-10,4.893e-10,3.679e-10,2.314e-10,1.452e-10,8.096e-11,6.98e-11,6.147e-11,5.328e-11,5.061e-11,4.442e-11,3.428e-11,3.795e-11,9.134e-11,9.804e-11,3.779e-11,6.531e-11,2.433e-10,1020,1015,1010,1005,1000,990,980.5,980,970,960,945,926,925,900,875,850,825,800,770,740,700,660,610,560,500,450,400,350,280,200,1e-30,1e-30,1e-30,1e-30,1e-30,1e-30,0.4147,0.4159,0.4407,0.4662,0.5047,0.5828,0.5856,0.6543,0.7194,0.7874,0.8586,0.933,1.015,1.102,1.222,1.339,1.49,1.645,1.83,1.983,2.138,2.294,2.512,2.73,1.852,169.5,3.109e+15,2.615e+15
9,0,39.3853,-92.0421,NaN,NaN,NaN,NaN,NaN,NaN,9.538e-10,9.19e-10,7.492e-10,6.504e-10,6.002e-10,5.686e-10,5.583e-10,4.662e-10,3.344e-10,2.133e-10,1.231e-10,8.057e-11,6.97e-11,6.181e-11,5.39e-11,5.181e-11,4.542e-11,3.426e-11,3.81e-11,1.027e-10,1.038e-10,4.194e-11,6.418e-11,2.256e-10,1020,1015,1010,1005,1000,990,982.2,980,970,960,945,930,925,900,875,850,825,800,770,740,700,660,610,560,500,450,400,350,280,200,1e-30,1e-30,1e-30,1e-30,1e-30,1e-30,0.3895,0.395,0.4203,0.4464,0.4857,0.5255,0.5397,0.6096,0.6759,0.745,0.8175,0.8934,0.9772,1.066,1.188,1.307,1.461,1.618,1.806,1.962,2.12,2.279,2.501,2.723,1.899,166,2.545e+15,2.537e+15
