ArrayShape,11,5
AlongTrackInd,AcrossTrackInd,Latitude,Longitude,BEHRNO2apriori-00,BEHRNO2apriori-01,BEHRNO2apriori-02,BEHRNO2apriori-03,BEHRNO2apriori-04,BEHRNO2apriori-05,BEHRNO2apriori-06,BEHRNO2apriori-07,BEHRNO2apriori-08,BEHRNO2apriori-09,BEHRNO2apriori-10,BEHRNO2apriori-11,BEHRNO2apriori-12,BEHRNO2apriori-13,BEHRNO2apriori-14,BEHRNO2apriori-15,BEHRNO2apriori-16,BEHRNO2apriori-17,BEHRNO2apriori-18,BEHRNO2apriori-19,BEHRNO2apriori-20,BEHRNO2apriori-21,BEHRNO2apriori-22,BEHRNO2apriori-23,BEHRNO2apriori-24,BEHRNO2apriori-25,BEHRNO2apriori-26,BEHRNO2apriori-27,BEHRNO2apriori-28,BEHRNO2apriori-29,BEHRPressureLevels-00,BEHRPressureLevels-01,BEHRPressureLevels-02,BEHRPressureLevels-03,BEHRPressureLevels-04,BEHRPressureLevels-05,BEHRPressureLevels-06,BEHRPressureLevels-07,BEHRPressureLevels-08,BEHRPressureLevels-09,BEHRPressureLevels-10,BEHRPressureLevels-11,BEHRPressureLevels-12,BEHRPressureLevels-13,BEHRPressureLevels-14,BEHRPressureLevels-15,BEHRPressureLevels-16,BEHRPressureLevels-17,BEHRPressureLevels-18,BEHRPressureLevels-19,BEHRPressureLevels-20,BEHRPressureLevels-21,BEHRPressureLevels-22,BEHRPressureLevels-23,BEHRPressureLevels-24,BEHRPressureLevels-25,BEHRPressureLevels-26,BEHRPressureLevels-27,BEHRPressureLevels-28,BEHRPressureLevels-29,BEHRScatteringWeights-00,BEHRScatteringWeights-01,BEHRScatteringWeights-02,BEHRScatteringWeights-03,BEHRScatteringWeights-04,BEHRScatteringWeights-05,BEHRScatteringWeights-06,BEHRScatteringWeights-07,BEHRScatteringWeights-08,BEHRScatteringWeights-09,BEHRScatteringWeights-10,BEHRScatteringWeights-11,BEHRScatteringWeights-12,BEHRScatteringWeights-13,BEHRScatteringWeights-14,BEHRScatteringWeights-15,BEHRScatteringWeights-16,BEHRScatteringWeights-17,BEHRScatteringWeights-18,BEHRScatteringWeights-19,BEHRScatteringWeights-20,BEHRScatteringWeights-21,BEHRScatteringWeights-22,BEHRScatteringWeights-23,BEHRScatteringWeights-24,BEHRScatteringWeights-25,BEHRScatteringWeights-26,BEHRScatteringWeights-27,BEHRScatteringWeights-28,BEHRScatteringWeights-29,r,theta,BEHRSlantColumnAmountNO2Trop,ModelSCD
10,0,39.5537,-91.3060,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.52e-09,1.995e-09,1.625e-09,1.517e-09,1.425e-09,1.288e-09,8.705e-10,6.25e-10,4.172e-10,1.056e-10,4.979e-11,4.3e-11,3.666e-11,2.835e-11,1.976e-11,1.367e-11,1.149e-11,1.105e-11,1.178e-11,1.451e-11,1.847e-11,3.905e-11,8.599e-11,1020,1015,1010,1005,1000,994,990,989.8,980,970,960,945,925,900,875,850,825,800,770,740,700,660,610,560,500,450,400,350,280,200,1e-30,1e-30,1e-30,1e-30,1e-30,0.1618,0.1619,0.59,0.6117,0.6343,0.6575,0.6926,0.7408,0.803,0.8609,0.9212,0.9844,1.05,1.122,1.199,1.303,1.403,1.531,1.661,1.814,1.943,2.072,2.204,2.388,2.565,1.272,150.5,2.667e+15,3.239e+15
0,1,38.3586,-90.5482,NaN,NaN,NaN,NaN,NaN,NaN,2.613e-09,2.436e-09,2.273e-09,2.194e-09,2.099e-09,2.076e-09,1.985e-09,1.35e-09,1.217e-09,1.033e-09,1.968e-10,7.307e-11,4.986e-11,3.921e-11,2.977e-11,2.266e-11,1.472e-11,1.144e-11,1.262e-11,1.696e-11,2.522e-11,2.932e-11,2.313e-11,5.561e-11,1020,1015,1010,1005,1000,990,988.8,980,970,960,945,941,925,900,875,850,825,800,770,740,700,660,610,560,500,450,400,350,280,200,1e-30,1e-30,1e-30,1e-30,1e-30,1e-30,0.2759,0.2942,0.3157,0.3378,0.371,0.7588,0.7968,0.8574,0.9139,0.9728,1.034,1.098,1.169,1.243,1.344,1.443,1.57,1.699,1.85,1.98,2.112,2.242,2.426,2.604,0.6669,-121.5,2.909e+15,4.142e+15
1,1,38.4791,-90.5729,NaN,NaN,NaN,NaN,NaN,NaN,4.846e-09,4.016e-09,3.306e-09,3.088e-09,2.903e-09,2.635e-09,1.648e-09,1.463e-09,1.331e-09,1.023e-09,4.087e-10,1.355e-10,6.274e-11,3.987e-11,2.838e-11,2.194e-11,1.439e-11,1.124e-11,1.212e-11,1.597e-11,2.413e-11,3.078e-11,2.646e-11,6.157e-11,1020,1015,1010,1005,1000,990,989.7,980,970,960,945,925,900,886,875,850,825,800,770,740,700,660,610,560,500,450,400,350,280,200,1e-30,1e-30,1e-30,1e-30,1e-30,1e-30,0.2751,0.2941,0.3142,0.335,0.3662,0.4091,0.4645,0.9922,1.017,1.073,1.131,1.192,1.259,1.329,1.426,1.519,1.64,1.762,1.906,2.03,2.155,2.28,2.455,2.623,0.5831,-129.8,5.079e+15,4.498e+15
2,1,38.5996,-90.5976,NaN,NaN,NaN,NaN,NaN,NaN,5.103e-09,4.211e-09,3.427e-09,3.181e-09,2.978e-09,2.962e-09,2.674e-09,1.641e-09,1.217e-09,9.197e-10,4.305e-10,1.451e-10,6.365e-11,3.911e-11,2.783e-11,2.15e-11,1.41e-11,1.104e-11,1.172e-11,1.54e-11,2.303e-11,3.159e-11,3.023e-11,6.481e-11,1020,1015,1010,1005,1000,990,989.3,980,970,960,945,944,925,900,875,850,825,800,770,740,700,660,610,560,500,450,400,350,280,200,1e-30,1e-30,1e-30,1e-30,1e-30,1e-30,0.2975,0.3171,0.3388,0.3611,0.3946,0.7436,0.7886,0.8497,0.9066,0.9658,1.028,1.092,1.163,1.238,1.34,1.439,1.567,1.696,1.849,1.979,2.11,2.241,2.426,2.605,0.5155,-140.6,7.584e+15,5.329e+15
3,1,38.7202,-90.6222,NaN,NaN,NaN,NaN,NaN,4.711e-09,4.671e-09,3.775e-09,3.089e-09,2.889e-09,2.867e-09,2.677e-09,2.226e-09,1.409e-09,1.085e-09,8.192e-10,3.815e-10,1.216e-10,5.814e-11,3.853e-11,2.806e-11,2.125e-11,1.388e-11,1.093e-11,1.148e-11,1.498e-11,2.204e-11,3.191e-11,3.377e-11,6.702e-11,1020,1015,1010,1005,1000,990.5,990,980,970,961,960,945,925,900,875,850,825,800,770,740,700,660,610,560,500,450,400,350,280,200,1e-30,1e-30,1e-30,1e-30,1e-30,0.3517,0.3527,0.3728,0.3935,0.7981,0.8003,0.8335,0.879,0.9377,0.9923,1.049,1.109,1.171,1.239,1.31,1.409,1.503,1.626,1.75,1.896,2.02,2.146,2.272,2.449,2.62,0.4707,-153.9,7.394e+15,5.764e+15
4,1,38.8408,-90.6470,NaN,NaN,NaN,NaN,NaN,3.781e-09,3.58e-09,2.882e-09,2.445e-09,2.43e-09,2.295e-09,2.11e-09,1.476e-09,1.172e-09,1.03e-09,7.005e-10,3.674e-10,1.222e-10,5.606e-11,3.9e-11,2.922e-11,2.074e-11,1.353e-11,1.103e-11,1.148e-11,1.442e-11,2.052e-11,3.183e-11,3.843e-11,7.069e-11,1020,1015,1010,1005,1000,993.1,990,980,970,969,960,945,925,900,875,850,825,800,770,740,700,660,610,560,500,450,400,350,280,200,1e-30,1e-30,1e-30,1e-30,1e-30,0.3882,0.3942,0.4137,0.4338,0.853,0.8722,0.9045,0.9486,1.006,1.059,1.114,1.171,1.231,1.297,1.366,1.462,1.553,1.671,1.791,1.932,2.052,2.174,2.296,2.468,2.632,0.4558,-169.1,6.122e+15,5.309e+15
5,1,38.9613,-90.6718,NaN,NaN,NaN,NaN,NaN,NaN,2.506e-09,2.452e-09,2.154e-09,1.967e-09,1.919e-09,1.72e-09,1.171e-09,1.034e-09,9e-10,6.538e-10,3.274e-10,1.114e-10,5.429e-11,3.776e-11,2.71e-11,1.934e-11,1.303e-11,1.092e-11,1.142e-11,1.394e-11,1.935e-11,3.114e-11,3.94e-11,7.156e-11,1020,1015,1010,1005,1000,994,991.9,990,980,970,960,945,925,900,875,850,825,800,770,740,700,660,610,560,500,450,400,350,280,200,1e-30,1e-30,1e-30,1e-30,1e-30,0.3064,0.6695,0.6737,0.6952,0.7173,0.74,0.7742,0.8212,0.8818,0.9382,0.9969,1.058,1.122,1.193,1.266,1.368,1.465,1.591,1.719,1.869,1.996,2.125,2.255,2.437,2.612,0.4737,175.8,4.328e+15,4.355e+15
6,1,39.0819,-90.6966,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.937e-09,1.766e-09,1.626e-09,1.569e-09,1.504e-09,1.286e-09,1.034e-09,8.715e-10,5.385e-10,2.117e-10,8.416e-11,5.019e-11,3.736e-11,2.701e-11,1.914e-11,1.308e-11,1.124e-11,1.17e-11,1.353e-11,1.829e-11,3.01e-11,4.096e-11,7.441e-11,1020,1015,1010,1005,1000,996,990,989,980,970,960,945,925,900,875,850,825,800,770,740,700,660,610,560,500,450,400,350,280,200,1e-30,1e-30,1e-30,1e-30,1e-30,0.2273,0.2275,0.5762,0.5964,0.6194,0.643,0.6787,0.7275,0.7907,0.8496,0.911,0.9752,1.042,1.116,1.193,1.299,1.401,1.533,1.666,1.823,1.955,2.09,2.225,2.415,2.598,0.5207,162.7,3.243e+15,3.499e+15
7,1,39.2024,-90.7214,NaN,NaN,NaN,NaN,NaN,NaN,2.063e-09,2.061e-09,1.868e-09,1.719e-09,1.659e-09,1.593e-09,1.461e-09,1.076e-09,8.445e-10,5.233e-10,1.597e-10,7.238e-11,4.704e-11,3.635e-11,2.696e-11,1.926e-11,1.309e-11,1.127e-11,1.195e-11,1.332e-11,1.746e-11,2.777e-11,4.188e-11,7.628e-11,1020,1015,1010,1005,1000,995,990.1,990,980,970,960,945,925,900,875,850,825,800,770,740,700,660,610,560,500,450,400,350,280,200,1e-30,1e-30,1e-30,1e-30,1e-30,0.2348,0.5997,0.5999,0.6221,0.6449,0.6683,0.7037,0.7521,0.8148,0.8732,0.9339,0.9975,1.064,1.137,1.213,1.319,1.419,1.55,1.681,1.836,1.968,2.1,2.234,2.422,2.603,0.5902,152.2,2.502e+15,3.715e+15
8,1,39.3229,-90.7462,NaN,NaN,NaN,NaN,NaN,2.297e-09,2.291e-09,2.132e-09,2.001e-09,1.933e-09,1.847e-09,1.683e-09,1.188e-09,8.716e-10,5.293e-10,1.344e-10,6.057e-11,4.293e-11,3.474e-11,2.701e-11,1.932e-11,1.302e-11,1.105e-11,1.19e-11,1.279e-11,1.649e-11,2.572e-11,4.294e-11,7.807e-11,NaN,1020,1015,1010,1005,1000,990.4,990,980,970,960,945,925,900,875,850,825,800,770,740,700,660,610,560,500,450,400,350,280,200,NaN,1e-30,1e-30,1e-30,1e-30,1e-30,0.367,0.613,0.6351,0.6578,0.6811,0.7164,0.7646,0.827,0.8852,0.9457,1.009,1.075,1.148,1.224,1.329,1.429,1.559,1.69,1.844,1.974,2.106,2.239,2.426,2.606,NaN,0.6751,144.1,-1.461e+14,4.094e+15
