ArrayShape,11,5
AlongTrackInd,AcrossTrackInd,Latitude,Longitude,BEHRNO2apriori-00,BEHRNO2apriori-01,BEHRNO2apriori-02,BEHRNO2apriori-03,BEHRNO2apriori-04,BEHRNO2apriori-05,BEHRNO2apriori-06,BEHRNO2apriori-07,BEHRNO2apriori-08,BEHRNO2apriori-09,BEHRNO2apriori-10,BEHRNO2apriori-11,BEHRNO2apriori-12,BEHRNO2apriori-13,BEHRNO2apriori-14,BEHRNO2apriori-15,BEHRNO2apriori-16,BEHRNO2apriori-17,BEHRNO2apriori-18,BEHRNO2apriori-19,BEHRNO2apriori-20,BEHRNO2apriori-21,BEHRNO2apriori-22,BEHRNO2apriori-23,BEHRNO2apriori-24,BEHRNO2apriori-25,BEHRNO2apriori-26,BEHRNO2apriori-27,BEHRNO2apriori-28,BEHRNO2apriori-29,BEHRPressureLevels-00,BEHRPressureLevels-01,BEHRPressureLevels-02,BEHRPressureLevels-03,BEHRPressureLevels-04,BEHRPressureLevels-05,BEHRPressureLevels-06,BEHRPressureLevels-07,BEHRPressureLevels-08,BEHRPressureLevels-09,BEHRPressureLevels-10,BEHRPressureLevels-11,BEHRPressureLevels-12,BEHRPressureLevels-13,BEHRPressureLevels-14,BEHRPressureLevels-15,BEHRPressureLevels-16,BEHRPressureLevels-17,BEHRPressureLevels-18,BEHRPressureLevels-19,BEHRPressureLevels-20,BEHRPressureLevels-21,BEHRPressureLevels-22,BEHRPressureLevels-23,BEHRPressureLevels-24,BEHRPressureLevels-25,BEHRPressureLevels-26,BEHRPressureLevels-27,BEHRPressureLevels-28,BEHRPressureLevels-29,BEHRScatteringWeights-00,BEHRScatteringWeights-01,BEHRScatteringWeights-02,BEHRScatteringWeights-03,BEHRScatteringWeights-04,BEHRScatteringWeights-05,BEHRScatteringWeights-06,BEHRScatteringWeights-07,BEHRScatteringWeights-08,BEHRScatteringWeights-09,BEHRScatteringWeights-10,BEHRScatteringWeights-11,BEHRScatteringWeights-12,BEHRScatteringWeights-13,BEHRScatteringWeights-14,BEHRScatteringWeights-15,BEHRScatteringWeights-16,BEHRScatteringWeights-17,BEHRScatteringWeights-18,BEHRScatteringWeights-19,BEHRScatteringWeights-20,BEHRScatteringWeights-21,BEHRScatteringWeights-22,BEHRScatteringWeights-23,BEHRScatteringWeights-24,BEHRScatteringWeights-25,BEHRScatteringWeights-26,BEHRScatteringWeights-27,BEHRScatteringWeights-28,BEHRScatteringWeights-29,r,theta,BEHRSlantColumnAmountNO2Trop,ModelSCD
0,0,38.2771,-91.5360,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.691e-10,6.126e-10,5.555e-10,5.222e-10,4.925e-10,4.534e-10,3.811e-10,2.905e-10,1.586e-10,9.437e-11,7.016e-11,5.218e-11,4.052e-11,3.108e-11,2.184e-11,1.42e-11,1.172e-11,1.279e-11,1.675e-11,2.03e-11,2.387e-11,2.735e-11,5.729e-11,1020,1015,1010,1005,1000,990,980,978.4,970,960,945,925,900,875,850,825,809,800,770,740,700,660,610,560,500,450,400,350,280,200,1e-30,1e-30,1e-30,1e-30,1e-30,1e-30,1e-30,0.2326,0.2484,0.2678,0.2969,0.3368,0.3883,0.4371,0.4879,0.5411,1.269,1.291,1.355,1.424,1.517,1.608,1.727,1.847,1.989,2.111,2.235,2.359,2.534,2.702,1.486,-154.1,9.347e+14,1.206e+15
1,0,38.3976,-91.5597,NaN,NaN,NaN,NaN,NaN,NaN,8.35e-10,8.272e-10,7.663e-10,7.195e-10,6.868e-10,6.524e-10,5.475e-10,4.327e-10,3.238e-10,1.808e-10,8.024e-11,7.926e-11,5.52e-11,4.037e-11,3.042e-11,2.135e-11,1.4e-11,1.139e-11,1.21e-11,1.564e-11,1.894e-11,2.245e-11,2.688e-11,5.734e-11,1020,1015,1010,1005,1000,990,981.3,980,970,960,945,925,900,875,850,825,800,799,770,740,700,660,610,560,500,450,400,350,280,200,1e-30,1e-30,1e-30,1e-30,1e-30,1e-30,0.231,0.2335,0.2524,0.272,0.3014,0.3417,0.3939,0.4431,0.4943,0.5479,0.6038,1.285,1.348,1.417,1.511,1.603,1.721,1.842,1.985,2.108,2.232,2.357,2.533,2.701,1.46,-158.7,7.148e+14,1.306e+15
2,0,38.5181,-91.5835,NaN,NaN,NaN,NaN,NaN,NaN,8.964e-10,8.795e-10,8.271e-10,7.881e-10,7.551e-10,7.107e-10,5.491e-10,4.266e-10,3.238e-10,1.87e-10,9.137e-11,8.865e-11,5.687e-11,4.022e-11,3.022e-11,2.113e-11,1.395e-11,1.135e-11,1.17e-11,1.461e-11,1.769e-11,2.096e-11,2.632e-11,5.757e-11,1020,1015,1010,1005,1000,990,983.3,980,970,960,945,925,900,875,850,825,801,800,770,740,700,660,610,560,500,450,400,350,280,200,1e-30,1e-30,1e-30,1e-30,1e-30,1e-30,0.2329,0.2391,0.2582,0.2778,0.3074,0.3479,0.4003,0.4496,0.501,0.5547,1.28,1.282,1.348,1.417,1.511,1.603,1.722,1.843,1.986,2.108,2.233,2.358,2.534,2.702,1.443,-163.5,1.515e+15,1.365e+15
3,0,38.6386,-91.6072,NaN,NaN,NaN,NaN,NaN,NaN,1.157e-09,1.072e-09,9.493e-10,8.952e-10,8.41e-10,7.368e-10,5.379e-10,4.032e-10,2.937e-10,1.72e-10,1.344e-10,8.614e-11,5.489e-11,4.011e-11,3.038e-11,2.102e-11,1.397e-11,1.147e-11,1.163e-11,1.355e-11,1.619e-11,1.941e-11,2.689e-11,5.847e-11,1020,1015,1010,1005,1000,990,986.8,980,970,960,945,925,900,875,850,825,816,800,770,740,700,660,610,560,500,450,400,350,280,200,1e-30,1e-30,1e-30,1e-30,1e-30,1e-30,0.2425,0.2549,0.2736,0.2928,0.3217,0.3612,0.4125,0.4605,0.5105,0.5628,1.285,1.323,1.387,1.455,1.547,1.637,1.753,1.871,2.011,2.131,2.252,2.374,2.547,2.711,1.437,-168.4,1.428e+15,1.445e+15
4,0,38.7592,-91.6310,NaN,NaN,NaN,NaN,NaN,NaN,1.042e-09,9.852e-10,8.902e-10,8.417e-10,7.921e-10,7.073e-10,5.219e-10,3.702e-10,2.799e-10,1.538e-10,1.499e-10,7.442e-11,5.263e-11,4.038e-11,3.026e-11,2.102e-11,1.411e-11,1.156e-11,1.158e-11,1.318e-11,1.548e-11,1.86e-11,2.808e-11,5.99e-11,1020,1015,1010,1005,1000,990,985.9,980,970,960,945,925,900,875,850,826,825,800,770,740,700,660,610,560,500,450,400,350,280,200,1e-30,1e-30,1e-30,1e-30,1e-30,1e-30,0.233,0.2437,0.262,0.2809,0.3093,0.3482,0.3986,0.4459,0.4952,1.283,1.285,1.343,1.406,1.473,1.565,1.654,1.769,1.886,2.024,2.142,2.263,2.383,2.554,2.716,1.441,-173.3,1.791e+15,1.406e+15
5,0,38.8798,-91.6549,NaN,NaN,NaN,NaN,NaN,NaN,1.132e-09,1.095e-09,9.502e-10,8.535e-10,7.865e-10,6.903e-10,4.801e-10,3.336e-10,2.849e-10,2.396e-10,1.23e-10,6.208e-11,5.073e-11,4.132e-11,3.038e-11,2.145e-11,1.475e-11,1.2e-11,1.154e-11,1.29e-11,1.473e-11,1.724e-11,3.061e-11,6.46e-11,1020,1015,1010,1005,1000,990,982.7,980,970,960,945,925,900,875,863,850,825,800,770,740,700,660,610,560,500,450,400,350,280,200,1e-30,1e-30,1e-30,1e-30,1e-30,1e-30,0.2537,0.2585,0.2764,0.2947,0.3224,0.3603,0.4093,0.4555,1.238,1.266,1.321,1.377,1.44,1.505,1.596,1.683,1.796,1.91,2.046,2.162,2.28,2.398,2.566,2.723,1.456,-178.1,2.054e+15,1.508e+15
6,0,39.0002,-91.6787,NaN,NaN,NaN,NaN,NaN,NaN,1.227e-09,1.205e-09,1.026e-09,8.999e-10,8.222e-10,7.152e-10,4.789e-10,3.353e-10,2.281e-10,1.065e-10,9.989e-11,6.203e-11,5.138e-11,4.195e-11,3.052e-11,2.175e-11,1.513e-11,1.23e-11,1.164e-11,1.269e-11,1.45e-11,1.698e-11,3.193e-11,6.775e-11,1020,1015,1010,1005,1000,990,981.3,980,970,960,945,925,900,875,850,825,822,800,770,740,700,660,610,560,500,450,400,350,280,200,1e-30,1e-30,1e-30,1e-30,1e-30,1e-30,0.3507,0.353,0.3715,0.3904,0.419,0.4583,0.509,0.5568,0.6065,0.6585,1.301,1.352,1.415,1.482,1.574,1.663,1.777,1.893,2.031,2.148,2.267,2.387,2.557,2.717,1.481,177.2,7.121e+14,1.543e+15
7,0,39.1207,-91.7025,NaN,NaN,NaN,NaN,NaN,NaN,1.264e-09,1.247e-09,1.064e-09,9.359e-10,8.599e-10,7.614e-10,5.023e-10,3.44e-10,2.674e-10,2.316e-10,1.013e-10,6.316e-11,5.164e-11,4.183e-11,3.042e-11,2.179e-11,1.517e-11,1.231e-11,1.169e-11,1.24e-11,1.429e-11,1.692e-11,3.239e-11,7e-11,1020,1015,1010,1005,1000,990,980.9,980,970,960,945,925,900,875,859,850,825,800,770,740,700,660,610,560,500,450,400,350,280,200,1e-30,1e-30,1e-30,1e-30,1e-30,1e-30,0.3708,0.3723,0.3885,0.4052,0.4303,0.4648,0.5095,0.5513,1.397,1.415,1.465,1.517,1.575,1.636,1.719,1.799,1.902,2.007,2.131,2.237,2.345,2.454,2.609,2.751,1.516,172.7,1.777e+15,1.774e+15
8,0,39.2412,-91.7264,NaN,NaN,NaN,NaN,NaN,NaN,1.245e-09,1.218e-09,1.067e-09,9.648e-10,9.005e-10,8.212e-10,5.335e-10,4.392e-10,3.418e-10,2.303e-10,9.908e-11,6.281e-11,4.995e-11,4.003e-11,2.955e-11,2.123e-11,1.471e-11,1.2e-11,1.163e-11,1.209e-11,1.42e-11,1.727e-11,3.243e-11,7.345e-11,1020,1015,1010,1005,1000,990,981.8,980,970,960,945,925,900,889,875,850,825,800,770,740,700,660,610,560,500,450,400,350,280,200,1e-30,1e-30,1e-30,1e-30,1e-30,1e-30,0.3622,0.3649,0.3795,0.3945,0.4172,0.4483,0.4885,1.469,1.493,1.538,1.584,1.632,1.686,1.742,1.82,1.893,1.989,2.086,2.201,2.3,2.4,2.501,2.645,2.775,1.559,168.4,1.708e+15,2.043e+15
9,0,39.3616,-91.7502,NaN,NaN,NaN,NaN,NaN,NaN,1.275e-09,1.234e-09,1.095e-09,1.012e-09,9.518e-10,8.558e-10,6.001e-10,5.066e-10,3.327e-10,2.35e-10,1.065e-10,6.42e-11,4.875e-11,3.843e-11,2.866e-11,2.053e-11,1.427e-11,1.183e-11,1.16e-11,1.204e-11,1.445e-11,1.778e-11,3.21e-11,7.653e-11,1020,1015,1010,1005,1000,990,983.1,980,970,960,945,925,908,900,875,850,825,800,770,740,700,660,610,560,500,450,400,350,280,200,1e-30,1e-30,1e-30,1e-30,1e-30,1e-30,0.3021,0.3062,0.3197,0.3335,0.3544,0.3831,1.519,1.533,1.573,1.615,1.66,1.705,1.757,1.81,1.884,1.954,2.045,2.137,2.247,2.34,2.435,2.533,2.67,2.792,1.611,164.3,1.528e+15,2.294e+15
