ArrayShape,11,5
AlongTrackInd,AcrossTrackInd,Latitude,Longitude,AMFStrat,AMFTrop,BEHRAMFTrop,BEHRAMFTropVisOnly,BEHRAvgKernels-00,BEHRAvgKernels-01,BEHRAvgKernels-02,BEHRAvgKernels-03,BEHRAvgKernels-04,BEHRAvgKernels-05,BEHRAvgKernels-06,BEHRAvgKernels-07,BEHRAvgKernels-08,BEHRAvgKernels-09,BEHRAvgKernels-10,BEHRAvgKernels-11,BEHRAvgKernels-12,BEHRAvgKernels-13,BEHRAvgKernels-14,BEHRAvgKernels-15,BEHRAvgKernels-16,BEHRAvgKernels-17,BEHRAvgKernels-18,BEHRAvgKernels-19,BEHRAvgKernels-20,BEHRAvgKernels-21,BEHRAvgKernels-22,BEHRAvgKernels-23,BEHRAvgKernels-24,BEHRAvgKernels-25,BEHRAvgKernels-26,BEHRAvgKernels-27,BEHRAvgKernels-28,BEHRAvgKernels-29,BEHRColumnAmountNO2Trop,BEHRColumnAmountNO2TropVisOnly,BEHRNO2apriori-00,BEHRNO2apriori-01,BEHRNO2apriori-02,BEHRNO2apriori-03,BEHRNO2apriori-04,BEHRNO2apriori-05,BEHRNO2apriori-06,BEHRNO2apriori-07,BEHRNO2apriori-08,BEHRNO2apriori-09,BEHRNO2apriori-10,BEHRNO2apriori-11,BEHRNO2apriori-12,BEHRNO2apriori-13,BEHRNO2apriori-14,BEHRNO2apriori-15,BEHRNO2apriori-16,BEHRNO2apriori-17,BEHRNO2apriori-18,BEHRNO2apriori-19,BEHRNO2apriori-20,BEHRNO2apriori-21,BEHRNO2apriori-22,BEHRNO2apriori-23,BEHRNO2apriori-24,BEHRNO2apriori-25,BEHRNO2apriori-26,BEHRNO2apriori-27,BEHRNO2apriori-28,BEHRNO2apriori-29,BEHRPressureLevels-00,BEHRPressureLevels-01,BEHRPressureLevels-02,BEHRPressureLevels-03,BEHRPressureLevels-04,BEHRPressureLevels-05,BEHRPressureLevels-06,BEHRPressureLevels-07,BEHRPressureLevels-08,BEHRPressureLevels-09,BEHRPressureLevels-10,BEHRPressureLevels-11,BEHRPressureLevels-12,BEHRPressureLevels-13,BEHRPressureLevels-14,BEHRPressureLevels-15,BEHRPressureLevels-16,BEHRPressureLevels-17,BEHRPressureLevels-18,BEHRPressureLevels-19,BEHRPressureLevels-20,BEHRPressureLevels-21,BEHRPressureLevels-22,BEHRPressureLevels-23,BEHRPressureLevels-24,BEHRPressureLevels-25,BEHRPressureLevels-26,BEHRPressureLevels-27,BEHRPressureLevels-28,BEHRPressureLevels-29,BEHRScatteringWeights-00,BEHRScatteringWeights-01,BEHRScatteringWeights-02,BEHRScatteringWeights-03,BEHRScatteringWeights-04,BEHRScatteringWeights-05,BEHRScatteringWeights-06,BEHRScatteringWeights-07,BEHRScatteringWeights-08,BEHRScatteringWeights-09,BEHRScatteringWeights-10,BEHRScatteringWeights-11,BEHRScatteringWeights-12,BEHRScatteringWeights-13,BEHRScatteringWeights-14,BEHRScatteringWeights-15,BEHRScatteringWeights-16,BEHRScatteringWeights-17,BEHRScatteringWeights-18,BEHRScatteringWeights-19,BEHRScatteringWeights-20,BEHRScatteringWeights-21,BEHRScatteringWeights-22,BEHRScatteringWeights-23,BEHRScatteringWeights-24,BEHRScatteringWeights-25,BEHRScatteringWeights-26,BEHRScatteringWeights-27,BEHRScatteringWeights-28,BEHRScatteringWeights-29,CloudFraction,CloudPressure,CloudRadianceFraction,ColumnAmountNO2,ColumnAmountNO2Strat,ColumnAmountNO2Trop,ColumnAmountNO2TropStd,GLOBETerpres,Latcorn-00,Latcorn-01,Latcorn-02,Latcorn-03,Loncorn-00,Loncorn-01,Loncorn-02,Loncorn-03,MODISAlbedo,MODISCloud,RelativeAzimuthAngle,Row,SlantColumnAmountNO2,SolarAzimuthAngle,SolarZenithAngle,Swath,TerrainHeight,TerrainPressure,TerrainReflectivity,Time,ViewingAzimuthAngle,ViewingZenithAngle,XTrackQualityFlags,vcdQualityFlags
0,0,38.2616,-91.0371,2.451,1.065,0.8355,0.9959,1.197e-30,1.197e-30,1.197e-30,1.197e-30,1.197e-30,1.197e-30,0.3396,0.3466,0.3726,0.3994,0.4398,0.4952,0.5668,0.6339,0.9583,0.9908,1.065,1.143,1.228,1.318,1.441,1.561,1.717,1.874,2.06,2.215,2.373,2.526,2.738,2.951,1.497e+15,1.256e+15,1.711e-09,1.64e-09,1.569e-09,1.498e-09,1.427e-09,1.285e-09,1.179e-09,1.143e-09,1.002e-09,9.108e-10,8.573e-10,7.952e-10,6.428e-10,5.522e-10,4.782e-10,4.264e-10,2.039e-10,8.411e-11,6.548e-11,5.542e-11,4.945e-11,4.791e-11,3.987e-11,3.071e-11,3.864e-11,4.433e-11,4.535e-11,4.589e-11,1.13e-10,2.223e-10,1020,1015,1010,1005,1000,990,982.7,980,970,960,945,925,900,875,861,850,825,800,770,740,700,660,610,560,500,450,400,350,280,200,1e-30,1e-30,1e-30,1e-30,1e-30,1e-30,0.2837,0.2895,0.3113,0.3337,0.3675,0.4137,0.4736,0.5297,0.8007,0.8278,0.8901,0.9551,1.026,1.101,1.204,1.304,1.434,1.566,1.721,1.851,1.982,2.11,2.288,2.466,0.028,861,0.098,5.333e+15,4.159e+15,1.174e+15,1.343e+15,982.7,38.18,38.2,38.34,38.33,-91.26,-90.77,-90.8,-91.29,0.02104,0.1733,157.6,49,1.15e+16,-116.7,26.45,4.217e+04,194,989,0.051,6.142e+08,-94.23,42.28,0,0
1,0,38.3820,-91.0626,2.451,1.07,0.7593,0.9261,1.317e-30,1.317e-30,1.317e-30,1.317e-30,1.317e-30,1.317e-30,0.382,0.3983,0.427,0.4565,0.501,0.5619,0.6408,0.7145,1.04,1.1,1.182,1.268,1.361,1.46,1.595,1.727,1.897,2.07,2.274,2.444,2.616,2.784,3.017,3.25,2.747e+15,2.252e+15,2.694e-09,2.558e-09,2.423e-09,2.287e-09,2.151e-09,1.879e-09,1.761e-09,1.608e-09,1.356e-09,1.254e-09,1.174e-09,9.954e-10,7.729e-10,7.092e-10,6.355e-10,4.467e-10,1.982e-10,8.846e-11,6.632e-11,5.555e-11,4.814e-11,4.683e-11,4.297e-11,3.289e-11,3.833e-11,4.251e-11,4.583e-11,4.357e-11,1.037e-10,2.228e-10,1020,1015,1010,1005,1000,990,985.8,980,970,960,945,925,900,875,869,850,825,800,770,740,700,660,610,560,500,450,400,350,280,200,1e-30,1e-30,1e-30,1e-30,1e-30,1e-30,0.29,0.3025,0.3242,0.3466,0.3804,0.4267,0.4866,0.5425,0.7899,0.8356,0.8977,0.9625,1.033,1.108,1.211,1.311,1.44,1.572,1.727,1.856,1.986,2.114,2.291,2.468,0.027,869,0.096,6.11e+15,4.16e+15,1.949e+15,1.259e+15,985.8,38.3,38.32,38.46,38.45,-91.28,-90.8,-90.83,-91.31,0.02187,0.1733,157.3,49,1.234e+16,-116.9,26.49,4.217e+04,200,988,0.051,6.142e+08,-94.23,42.28,0,0
2,0,38.5025,-91.0881,2.453,1.018,0.7504,1.061,1.333e-30,1.333e-30,1.333e-30,1.333e-30,1.333e-30,1.333e-30,0.3911,0.4098,0.4358,0.4626,0.503,0.5584,0.6302,1.268,1.271,1.343,1.419,1.498,1.584,1.676,1.801,1.922,2.08,2.24,2.429,2.587,2.747,2.902,3.118,3.331,2.708e+15,1.914e+15,2.981e-09,2.836e-09,2.692e-09,2.547e-09,2.403e-09,2.113e-09,2.032e-09,1.824e-09,1.562e-09,1.466e-09,1.385e-09,1.208e-09,9.241e-10,8.442e-10,8.41e-10,4.559e-10,1.948e-10,9.312e-11,6.77e-11,5.589e-11,4.757e-11,4.574e-11,4.392e-11,3.394e-11,3.793e-11,4.086e-11,4.669e-11,4.19e-11,9.433e-11,2.189e-10,1020,1015,1010,1005,1000,990,987.3,980,970,960,945,925,900,876,875,850,825,800,770,740,700,660,610,560,500,450,400,350,280,200,1e-30,1e-30,1e-30,1e-30,1e-30,1e-30,0.2935,0.3075,0.327,0.3471,0.3775,0.4191,0.4729,0.9518,0.954,1.008,1.065,1.124,1.189,1.257,1.351,1.443,1.561,1.681,1.823,1.941,2.061,2.178,2.34,2.5,0.048,876,0.177,6.157e+15,4.162e+15,1.995e+15,1.359e+15,987.3,38.43,38.44,38.58,38.57,-91.31,-90.82,-90.85,-91.34,0.02609,0.1743,157.1,49,1.23e+16,-117.1,26.53,4.217e+04,184,990,0.039,6.142e+08,-94.23,42.28,0,0
3,0,38.6231,-91.1137,2.453,1.032,0.8079,1.018,1.238e-30,1.238e-30,1.238e-30,1.238e-30,1.238e-30,1.238e-30,0.365,0.3857,0.4108,0.4367,0.4758,0.5293,0.5986,1.045,1.109,1.178,1.251,1.326,1.409,1.497,1.617,1.734,1.885,2.038,2.219,2.37,2.522,2.672,2.879,3.083,2.329e+15,1.848e+15,2.257e-09,2.154e-09,2.05e-09,1.946e-09,1.842e-09,1.634e-09,1.6e-09,1.427e-09,1.232e-09,1.161e-09,1.106e-09,1.052e-09,8.284e-10,8.25e-10,7.466e-10,4.018e-10,1.783e-10,9.718e-11,6.843e-11,5.557e-11,4.738e-11,4.53e-11,4.397e-11,3.445e-11,3.728e-11,3.961e-11,5.015e-11,4.006e-11,7.903e-11,2.166e-10,1020,1015,1010,1005,1000,990,988.4,980,970,960,945,925,900,899,875,850,825,800,770,740,700,660,610,560,500,450,400,350,280,200,1e-30,1e-30,1e-30,1e-30,1e-30,1e-30,0.2948,0.3116,0.3319,0.3528,0.3843,0.4276,0.4836,0.8442,0.8958,0.9517,1.01,1.071,1.139,1.209,1.306,1.401,1.523,1.647,1.793,1.915,2.038,2.158,2.326,2.491,0.04,899,0.148,5.987e+15,4.164e+15,1.823e+15,1.346e+15,988.4,38.55,38.56,38.7,38.69,-91.33,-90.85,-90.88,-91.36,0.0249,0.0925,156.9,49,1.215e+16,-117.4,26.58,4.217e+04,150,994,0.039,6.142e+08,-94.23,42.28,0,0
4,0,38.7437,-91.1393,2.452,1.065,0.9296,0.9337,1.076e-30,1.076e-30,1.076e-30,1.076e-30,1.076e-30,1.076e-30,0.2996,0.5757,0.5781,0.6018,0.6263,0.6631,0.7135,0.7788,0.8401,0.904,0.9709,1.041,1.117,1.198,1.309,1.417,1.556,1.697,1.864,2.003,2.143,2.28,2.471,2.659,6.398e+14,6.37e+14,1.621e-09,1.57e-09,1.519e-09,1.468e-09,1.416e-09,1.314e-09,1.242e-09,1.221e-09,1.212e-09,1.111e-09,1.056e-09,1.012e-09,9.591e-10,7.602e-10,6.779e-10,3.607e-10,1.791e-10,9.141e-11,6.826e-11,5.582e-11,4.707e-11,4.444e-11,4.522e-11,3.624e-11,3.683e-11,3.937e-11,5.036e-11,3.848e-11,7.564e-11,2.099e-10,1020,1015,1010,1005,1000,990,983,981,980,970,960,945,925,900,875,850,825,800,770,740,700,660,610,560,500,450,400,350,280,200,1e-30,1e-30,1e-30,1e-30,1e-30,1e-30,0.2786,0.5352,0.5374,0.5595,0.5822,0.6164,0.6633,0.724,0.781,0.8403,0.9025,0.9675,1.039,1.114,1.217,1.317,1.446,1.578,1.733,1.862,1.992,2.119,2.297,2.472,0.029,981,0.106,4.725e+15,4.166e+15,5.585e+14,1.21e+15,983,38.67,38.68,38.82,38.81,-91.36,-90.87,-90.9,-91.39,0.02073,0.04,156.6,49,1.087e+16,-117.6,26.62,4.217e+04,255,981,0.039,6.142e+08,-94.23,42.28,0,0
5,0,38.8642,-91.1649,2.453,1.069,0.987,0.9837,1.013e-30,1.013e-30,1.013e-30,1.013e-30,1.013e-30,1.013e-30,0.2699,0.6154,0.6213,0.6429,0.6652,0.6988,0.7448,0.8043,0.8602,0.9184,0.9794,1.043,1.113,1.187,1.288,1.386,1.513,1.641,1.793,1.919,2.047,2.172,2.346,2.516,7.04e+14,7.064e+14,2.413e-09,2.293e-09,2.174e-09,2.055e-09,1.936e-09,1.697e-09,1.55e-09,1.52e-09,1.459e-09,1.232e-09,1.104e-09,1.036e-09,9.716e-10,7.738e-10,6.824e-10,3.698e-10,1.61e-10,8.129e-11,6.636e-11,5.646e-11,4.694e-11,4.378e-11,4.514e-11,3.697e-11,3.664e-11,4e-11,5.138e-11,3.772e-11,7.179e-11,2.072e-10,1020,1015,1010,1005,1000,990,984,982.7,980,970,960,945,925,900,875,850,825,800,770,740,700,660,610,560,500,450,400,350,280,200,1e-30,1e-30,1e-30,1e-30,1e-30,1e-30,0.2664,0.6074,0.6132,0.6346,0.6565,0.6897,0.7351,0.7939,0.849,0.9065,0.9667,1.03,1.099,1.171,1.271,1.368,1.493,1.62,1.77,1.895,2.02,2.144,2.315,2.484,0.03,984,0.112,4.818e+15,4.168e+15,6.502e+14,1.294e+15,982.7,38.79,38.8,38.94,38.93,-91.39,-90.9,-90.93,-91.42,0.02913,0.03143,156.4,49,1.097e+16,-117.8,26.66,4.217e+04,231,984,0.039,6.142e+08,-94.24,42.28,0,0
6,0,38.9848,-91.1905,2.453,1.068,1.043,1.037,9.592e-31,9.592e-31,9.592e-31,9.592e-31,9.592e-31,9.592e-31,0.2484,0.5854,0.5962,0.6167,0.6377,0.6695,0.7131,0.7695,0.8222,0.8772,0.9348,0.9949,1.061,1.13,1.226,1.319,1.438,1.56,1.703,1.822,1.942,2.06,2.224,2.385,2.238e+15,2.251e+15,1.663e-09,1.586e-09,1.508e-09,1.43e-09,1.353e-09,1.197e-09,1.165e-09,1.123e-09,1.042e-09,8.941e-10,8.213e-10,7.743e-10,7.273e-10,6.18e-10,5.382e-10,3.124e-10,1.485e-10,7.57e-11,6.496e-11,5.64e-11,4.654e-11,4.25e-11,4.389e-11,3.684e-11,3.652e-11,4.354e-11,5.537e-11,4.077e-11,6.592e-11,2.053e-10,1020,1015,1010,1005,1000,990,988,985.4,980,970,960,945,925,900,875,850,825,800,770,740,700,660,610,560,500,450,400,350,280,200,1e-30,1e-30,1e-30,1e-30,1e-30,1e-30,0.259,0.6103,0.6216,0.6429,0.6649,0.698,0.7434,0.8022,0.8572,0.9145,0.9746,1.037,1.106,1.179,1.278,1.375,1.5,1.626,1.776,1.899,2.024,2.147,2.318,2.486,0.03,988,0.109,6.355e+15,4.17e+15,2.185e+15,1.335e+15,985.4,38.91,38.92,39.06,39.05,-91.41,-90.92,-90.95,-91.44,0.03043,0,156.2,49,1.262e+16,-118.1,26.71,4.217e+04,197,988,0.039,6.142e+08,-94.24,42.28,0,0
7,0,39.1053,-91.2162,2.452,1.043,0.9797,0.9777,1.021e-30,1.021e-30,1.021e-30,1.021e-30,1.021e-30,1.021e-30,0.1649,0.5251,0.5376,0.5604,0.5838,0.6191,0.6675,0.7301,0.7887,0.8498,0.9138,0.9806,1.054,1.131,1.238,1.34,1.473,1.608,1.767,1.898,2.031,2.162,2.344,2.523,7.913e+14,7.929e+14,1.618e-09,1.54e-09,1.461e-09,1.382e-09,1.303e-09,1.146e-09,1.096e-09,1.074e-09,9.884e-10,8.339e-10,7.601e-10,7.139e-10,6.701e-10,5.854e-10,4.991e-10,3.301e-10,1.359e-10,7.315e-11,6.486e-11,5.703e-11,4.691e-11,4.27e-11,4.422e-11,3.702e-11,3.639e-11,4.957e-11,6.246e-11,4.41e-11,6.249e-11,2.077e-10,1020,1015,1010,1005,1000,990,987,985.6,980,970,960,945,925,900,875,850,825,800,770,740,700,660,610,560,500,450,400,350,280,200,1e-30,1e-30,1e-30,1e-30,1e-30,1e-30,0.1616,0.5144,0.5267,0.549,0.5719,0.6065,0.6539,0.7153,0.7727,0.8325,0.8952,0.9607,1.032,1.108,1.212,1.313,1.443,1.575,1.731,1.86,1.99,2.118,2.297,2.472,0.019,987,0.068,4.916e+15,4.172e+15,7.433e+14,1.198e+15,985.6,39.03,39.04,39.18,39.17,-91.44,-90.95,-90.98,-91.47,0.02864,0,155.9,49,1.106e+16,-118.3,26.75,4.217e+04,209,987,0.045,6.142e+08,-94.24,42.28,0,0
8,0,39.2258,-91.2419,2.452,1.043,0.9906,0.9851,1.009e-30,1.009e-30,1.009e-30,1.009e-30,1.009e-30,1.009e-30,0.1631,0.5149,0.5221,0.5447,0.5678,0.6028,0.6508,0.7129,0.7711,0.8318,0.8955,0.9619,1.035,1.112,1.218,1.319,1.452,1.586,1.744,1.874,2.006,2.137,2.318,2.495,1.142e+15,1.148e+15,1.745e-09,1.658e-09,1.572e-09,1.486e-09,1.4e-09,1.227e-09,1.173e-09,1.108e-09,1.055e-09,8.828e-10,7.798e-10,7.266e-10,6.801e-10,6.028e-10,4.829e-10,3.438e-10,1.271e-10,7.179e-11,6.416e-11,5.694e-11,4.766e-11,4.309e-11,4.321e-11,3.655e-11,3.573e-11,5.945e-11,7.854e-11,5.275e-11,6.099e-11,2.076e-10,1020,1015,1010,1005,1000,990,987,983.2,980,970,960,945,925,900,875,850,825,800,770,740,700,660,610,560,500,450,400,350,280,200,1e-30,1e-30,1e-30,1e-30,1e-30,1e-30,0.1615,0.51,0.5172,0.5396,0.5625,0.5972,0.6447,0.7062,0.7639,0.824,0.8871,0.9529,1.025,1.101,1.206,1.307,1.438,1.571,1.728,1.857,1.987,2.117,2.296,2.472,0.019,987,0.068,5.259e+15,4.174e+15,1.085e+15,1.286e+15,983.2,39.15,39.16,39.3,39.29,-91.46,-90.97,-91,-91.49,0.028,0,155.7,49,1.142e+16,-118.5,26.8,4.217e+04,204,987,0.045,6.142e+08,-94.24,42.28,0,0
9,0,39.3463,-91.2676,2.453,1.189,0.9758,0.9775,1.025e-30,1.025e-30,1.025e-30,1.025e-30,1.025e-30,1.025e-30,0.3528,0.5308,0.5331,0.5559,0.5794,0.6149,0.6635,0.7264,0.7855,0.8471,0.9117,0.9792,1.053,1.131,1.239,1.342,1.476,1.612,1.773,1.905,2.039,2.171,2.355,2.535,2.335e+15,2.332e+15,1.761e-09,1.684e-09,1.607e-09,1.53e-09,1.453e-09,1.299e-09,1.176e-09,1.159e-09,1.144e-09,9.91e-10,8.97e-10,8.416e-10,7.902e-10,7.143e-10,5.173e-10,3.137e-10,1.355e-10,7.553e-11,6.376e-11,5.576e-11,4.772e-11,4.239e-11,4.059e-11,3.517e-11,3.441e-11,6.966e-11,9.785e-11,6.186e-11,6.1e-11,2.069e-10,1020,1015,1010,1005,1000,990,982.1,981,980,970,960,945,925,900,875,850,825,800,770,740,700,660,610,560,500,450,400,350,280,200,1e-30,1e-30,1e-30,1e-30,1e-30,1e-30,0.3443,0.518,0.5202,0.5425,0.5654,0.6,0.6475,0.7089,0.7665,0.8266,0.8897,0.9555,1.028,1.104,1.209,1.31,1.441,1.573,1.73,1.859,1.99,2.119,2.298,2.474,0.02,981,0.072,6.093e+15,4.176e+15,1.917e+15,1.097e+15,982.1,39.27,39.28,39.42,39.41,-91.49,-91,-91.03,-91.52,0.02764,0,155.5,49,1.258e+16,-118.8,26.84,4.217e+04,254,981,0.045,6.142e+08,-94.24,42.28,0,0
