ArrayShape,11,5
AlongTrackInd,AcrossTrackInd,Latitude,Longitude,AMFStrat,AMFTrop,BEHRAMFTrop,BEHRAMFTropVisOnly,BEHRAvgKernels-00,BEHRAvgKernels-01,BEHRAvgKernels-02,BEHRAvgKernels-03,BEHRAvgKernels-04,BEHRAvgKernels-05,BEHRAvgKernels-06,BEHRAvgKernels-07,BEHRAvgKernels-08,BEHRAvgKernels-09,BEHRAvgKernels-10,BEHRAvgKernels-11,BEHRAvgKernels-12,BEHRAvgKernels-13,BEHRAvgKernels-14,BEHRAvgKernels-15,BEHRAvgKernels-16,BEHRAvgKernels-17,BEHRAvgKernels-18,BEHRAvgKernels-19,BEHRAvgKernels-20,BEHRAvgKernels-21,BEHRAvgKernels-22,BEHRAvgKernels-23,BEHRAvgKernels-24,BEHRAvgKernels-25,BEHRAvgKernels-26,BEHRAvgKernels-27,BEHRAvgKernels-28,BEHRAvgKernels-29,BEHRColumnAmountNO2Trop,BEHRColumnAmountNO2TropVisOnly,BEHRNO2apriori-00,BEHRNO2apriori-01,BEHRNO2apriori-02,BEHRNO2apriori-03,BEHRNO2apriori-04,BEHRNO2apriori-05,BEHRNO2apriori-06,BEHRNO2apriori-07,BEHRNO2apriori-08,BEHRNO2apriori-09,BEHRNO2apriori-10,BEHRNO2apriori-11,BEHRNO2apriori-12,BEHRNO2apriori-13,BEHRNO2apriori-14,BEHRNO2apriori-15,BEHRNO2apriori-16,BEHRNO2apriori-17,BEHRNO2apriori-18,BEHRNO2apriori-19,BEHRNO2apriori-20,BEHRNO2apriori-21,BEHRNO2apriori-22,BEHRNO2apriori-23,BEHRNO2apriori-24,BEHRNO2apriori-25,BEHRNO2apriori-26,BEHRNO2apriori-27,BEHRNO2apriori-28,BEHRNO2apriori-29,BEHRPressureLevels-00,BEHRPressureLevels-01,BEHRPressureLevels-02,BEHRPressureLevels-03,BEHRPressureLevels-04,BEHRPressureLevels-05,BEHRPressureLevels-06,BEHRPressureLevels-07,BEHRPressureLevels-08,BEHRPressureLevels-09,BEHRPressureLevels-10,BEHRPressureLevels-11,BEHRPressureLevels-12,BEHRPressureLevels-13,BEHRPressureLevels-14,BEHRPressureLevels-15,BEHRPressureLevels-16,BEHRPressureLevels-17,BEHRPressureLevels-18,BEHRPressureLevels-19,BEHRPressureLevels-20,BEHRPressureLevels-21,BEHRPressureLevels-22,BEHRPressureLevels-23,BEHRPressureLevels-24,BEHRPressureLevels-25,BEHRPressureLevels-26,BEHRPressureLevels-27,BEHRPressureLevels-28,BEHRPressureLevels-29,BEHRScatteringWeights-00,BEHRScatteringWeights-01,BEHRScatteringWeights-02,BEHRScatteringWeights-03,BEHRScatteringWeights-04,BEHRScatteringWeights-05,BEHRScatteringWeights-06,BEHRScatteringWeights-07,BEHRScatteringWeights-08,BEHRScatteringWeights-09,BEHRScatteringWeights-10,BEHRScatteringWeights-11,BEHRScatteringWeights-12,BEHRScatteringWeights-13,BEHRScatteringWeights-14,BEHRScatteringWeights-15,BEHRScatteringWeights-16,BEHRScatteringWeights-17,BEHRScatteringWeights-18,BEHRScatteringWeights-19,BEHRScatteringWeights-20,BEHRScatteringWeights-21,BEHRScatteringWeights-22,BEHRScatteringWeights-23,BEHRScatteringWeights-24,BEHRScatteringWeights-25,BEHRScatteringWeights-26,BEHRScatteringWeights-27,BEHRScatteringWeights-28,BEHRScatteringWeights-29,CloudFraction,CloudPressure,CloudRadianceFraction,ColumnAmountNO2,ColumnAmountNO2Strat,ColumnAmountNO2Trop,ColumnAmountNO2TropStd,GLOBETerpres,Latcorn-00,Latcorn-01,Latcorn-02,Latcorn-03,Loncorn-00,Loncorn-01,Loncorn-02,Loncorn-03,MODISAlbedo,MODISCloud,RelativeAzimuthAngle,Row,SlantColumnAmountNO2,SolarAzimuthAngle,SolarZenithAngle,Swath,TerrainHeight,TerrainPressure,TerrainReflectivity,Time,ViewingAzimuthAngle,ViewingZenithAngle,XTrackQualityFlags,vcdQualityFlags
0,0,38.2945,-90.8009,2.35,0.4197,0.2974,2.621,3.363e-30,3.363e-30,3.363e-30,3.363e-30,3.363e-30,3.363e-30,3.363e-30,3.363e-30,3.363e-30,3.363e-30,3.363e-30,3.363e-30,3.363e-30,3.363e-30,3.363e-30,3.363e-30,3.363e-30,3.363e-30,3.363e-30,3.363e-30,3.363e-30,3.363e-30,3.363e-30,3.363e-30,8.552,8.623,8.709,8.775,8.86,8.899,NaN,NaN,2.149e-09,2.076e-09,2.003e-09,1.93e-09,1.857e-09,1.712e-09,1.665e-09,1.566e-09,1.429e-09,1.369e-09,1.312e-09,1.155e-09,1.017e-09,9.434e-10,7.133e-10,3.553e-10,1.028e-10,6.934e-11,5.554e-11,4.775e-11,4.655e-11,4.62e-11,3.535e-11,3.839e-11,3.893e-11,4.334e-11,4.305e-11,4.637e-11,1.201e-10,2.14e-10,1020,1015,1010,1005,1000,990,986.9,980,970,960,945,925,900,875,850,825,800,770,740,700,660,610,560,500,494,450,400,350,280,200,1e-30,1e-30,1e-30,1e-30,1e-30,1e-30,1e-30,1e-30,1e-30,1e-30,1e-30,1e-30,1e-30,1e-30,1e-30,1e-30,1e-30,1e-30,1e-30,1e-30,1e-30,1e-30,1e-30,1e-30,2.543,2.564,2.59,2.609,2.634,2.646,1,494,1,NaN,NaN,NaN,NaN,986.9,38.21,38.23,38.37,38.36,-90.98,-90.58,-90.61,-91.01,0.0229,1,157.1,46,NaN,-118.5,25.98,4.206e+04,208,987,0.057,6.136e+08,-95.6,35.42,0,0
1,0,38.4150,-90.8286,2.35,0.423,0.268,2.621,3.731e-30,3.731e-30,3.731e-30,3.731e-30,3.731e-30,3.731e-30,3.731e-30,3.731e-30,3.731e-30,3.731e-30,3.731e-30,3.731e-30,3.731e-30,3.731e-30,3.731e-30,3.731e-30,3.731e-30,3.731e-30,3.731e-30,3.731e-30,3.731e-30,3.731e-30,3.731e-30,3.731e-30,9.484,9.571,9.665,9.739,9.835,9.877,NaN,NaN,2.937e-09,2.812e-09,2.687e-09,2.561e-09,2.436e-09,2.186e-09,2.161e-09,1.935e-09,1.708e-09,1.628e-09,1.552e-09,1.247e-09,1.068e-09,9.841e-10,6.059e-10,2.352e-10,9.766e-11,6.8e-11,5.551e-11,4.729e-11,4.516e-11,4.585e-11,3.544e-11,3.819e-11,3.827e-11,4.238e-11,4.304e-11,4.382e-11,1.14e-10,2.091e-10,1020,1015,1010,1005,1000,990,989.1,980,970,960,945,925,900,875,850,825,800,770,740,700,660,610,560,500,499,450,400,350,280,200,1e-30,1e-30,1e-30,1e-30,1e-30,1e-30,1e-30,1e-30,1e-30,1e-30,1e-30,1e-30,1e-30,1e-30,1e-30,1e-30,1e-30,1e-30,1e-30,1e-30,1e-30,1e-30,1e-30,1e-30,2.542,2.565,2.59,2.61,2.636,2.647,1,499,1,NaN,NaN,NaN,NaN,989.1,38.33,38.35,38.49,38.48,-91.01,-90.61,-90.64,-91.04,0.02448,1,156.9,46,NaN,-118.7,26.03,4.206e+04,156,993,0.057,6.136e+08,-95.61,35.42,0,0
2,0,38.5354,-90.8564,2.35,0.4069,0.2143,2.624,4.667e-30,4.667e-30,4.667e-30,4.667e-30,4.667e-30,4.667e-30,4.667e-30,4.667e-30,4.667e-30,4.667e-30,4.667e-30,4.667e-30,4.667e-30,4.667e-30,4.667e-30,4.667e-30,4.667e-30,4.667e-30,4.667e-30,4.667e-30,4.667e-30,4.667e-30,4.667e-30,4.667e-30,11.9,11.98,12.1,12.19,12.31,12.36,NaN,NaN,3.538e-09,3.388e-09,3.238e-09,3.088e-09,2.938e-09,2.638e-09,2.59e-09,2.338e-09,2.068e-09,1.982e-09,1.897e-09,1.65e-09,1.277e-09,1.157e-09,6.3e-10,2.032e-10,9.491e-11,6.778e-11,5.554e-11,4.668e-11,4.384e-11,4.527e-11,3.568e-11,3.772e-11,3.838e-11,4.02e-11,4.365e-11,4.108e-11,1.006e-10,2.055e-10,1020,1015,1010,1005,1000,990,988.5,980,970,960,945,925,900,875,850,825,800,770,740,700,660,610,560,500,486,450,400,350,280,200,1e-30,1e-30,1e-30,1e-30,1e-30,1e-30,1e-30,1e-30,1e-30,1e-30,1e-30,1e-30,1e-30,1e-30,1e-30,1e-30,1e-30,1e-30,1e-30,1e-30,1e-30,1e-30,1e-30,1e-30,2.551,2.568,2.593,2.613,2.638,2.649,1,486,1,NaN,NaN,NaN,NaN,988.5,38.46,38.47,38.61,38.6,-91.04,-90.63,-90.67,-91.07,0.02513,1,156.7,46,NaN,-118.9,26.07,4.206e+04,156,993,0.064,6.136e+08,-95.61,35.42,0,0
3,0,38.6558,-90.8842,2.351,0.388,0.2401,2.629,4.165e-30,4.165e-30,4.165e-30,4.165e-30,4.165e-30,4.165e-30,4.165e-30,4.165e-30,4.165e-30,4.165e-30,4.165e-30,4.165e-30,4.165e-30,4.165e-30,4.165e-30,4.165e-30,4.165e-30,4.165e-30,4.165e-30,4.165e-30,4.165e-30,4.165e-30,4.165e-30,4.165e-30,10.67,10.71,10.81,10.89,11,11.04,NaN,NaN,2.697e-09,2.589e-09,2.481e-09,2.373e-09,2.265e-09,2.05e-09,1.978e-09,1.834e-09,1.633e-09,1.555e-09,1.491e-09,1.423e-09,1.072e-09,9.725e-10,5.862e-10,1.831e-10,9.388e-11,6.722e-11,5.484e-11,4.627e-11,4.276e-11,4.423e-11,3.608e-11,3.728e-11,3.813e-11,3.868e-11,4.322e-11,3.961e-11,9.504e-11,1.995e-10,1020,1015,1010,1005,1000,990,986.8,980,970,960,945,925,900,875,850,825,800,770,740,700,660,610,560,500,469,450,400,350,280,200,1e-30,1e-30,1e-30,1e-30,1e-30,1e-30,1e-30,1e-30,1e-30,1e-30,1e-30,1e-30,1e-30,1e-30,1e-30,1e-30,1e-30,1e-30,1e-30,1e-30,1e-30,1e-30,1e-30,1e-30,2.562,2.571,2.596,2.616,2.64,2.65,1,469,1,NaN,NaN,NaN,NaN,986.8,38.58,38.59,38.74,38.72,-91.06,-90.66,-90.69,-91.1,0.02133,1,156.4,46,NaN,-119.2,26.12,4.206e+04,198,988,0.064,6.136e+08,-95.61,35.42,0,0
4,0,38.7764,-90.9121,2.351,0.3749,0.2696,2.632,3.709e-30,3.709e-30,3.709e-30,3.709e-30,3.709e-30,3.709e-30,3.709e-30,3.709e-30,3.709e-30,3.709e-30,3.709e-30,3.709e-30,3.709e-30,3.709e-30,3.709e-30,3.709e-30,3.709e-30,3.709e-30,3.709e-30,3.709e-30,3.709e-30,3.709e-30,3.709e-30,3.709e-30,9.528,9.544,9.637,9.709,9.8,9.833,NaN,NaN,3.23e-09,3.043e-09,2.856e-09,2.669e-09,2.482e-09,2.107e-09,1.943e-09,1.733e-09,1.431e-09,1.325e-09,1.242e-09,1.151e-09,8.676e-10,7.332e-10,3.624e-10,1.545e-10,9.212e-11,6.679e-11,5.497e-11,4.588e-11,4.115e-11,4.123e-11,3.564e-11,3.691e-11,3.755e-11,3.77e-11,4.351e-11,3.975e-11,8.742e-11,1.911e-10,1020,1015,1010,1005,1000,990,985.8,980,970,960,945,925,900,875,850,825,800,770,740,700,660,610,560,500,459,450,400,350,280,200,1e-30,1e-30,1e-30,1e-30,1e-30,1e-30,1e-30,1e-30,1e-30,1e-30,1e-30,1e-30,1e-30,1e-30,1e-30,1e-30,1e-30,1e-30,1e-30,1e-30,1e-30,1e-30,1e-30,1e-30,2.569,2.573,2.598,2.618,2.642,2.651,1,459,1,NaN,NaN,NaN,NaN,985.8,38.7,38.71,38.86,38.84,-91.09,-90.69,-90.72,-91.13,0.03096,1,156.2,46,NaN,-119.4,26.16,4.206e+04,191,989,0.064,6.136e+08,-95.62,35.42,0,0
5,0,38.8968,-90.9400,2.352,0.3517,0.2869,2.635,3.486e-30,3.486e-30,3.486e-30,3.486e-30,3.486e-30,3.486e-30,3.486e-30,3.486e-30,3.486e-30,3.486e-30,3.486e-30,3.486e-30,3.486e-30,3.486e-30,3.486e-30,3.486e-30,3.486e-30,3.486e-30,3.486e-30,3.486e-30,3.486e-30,3.486e-30,3.486e-30,3.486e-30,3.486e-30,8.993,9.068,9.135,9.219,9.247,NaN,NaN,2.608e-09,2.458e-09,2.308e-09,2.157e-09,2.007e-09,1.707e-09,1.682e-09,1.406e-09,1.167e-09,1.082e-09,1.012e-09,9.366e-10,7.239e-10,6.317e-10,3.295e-10,1.275e-10,7.964e-11,6.423e-11,5.528e-11,4.596e-11,4.088e-11,4.08e-11,3.578e-11,3.66e-11,3.895e-11,4.01e-11,4.845e-11,4.187e-11,7.604e-11,1.931e-10,1020,1015,1010,1005,1000,990,989.2,980,970,960,945,925,900,875,850,825,800,770,740,700,660,610,560,500,450,443,400,350,280,200,1e-30,1e-30,1e-30,1e-30,1e-30,1e-30,1e-30,1e-30,1e-30,1e-30,1e-30,1e-30,1e-30,1e-30,1e-30,1e-30,1e-30,1e-30,1e-30,1e-30,1e-30,1e-30,1e-30,1e-30,1e-30,2.58,2.601,2.621,2.645,2.653,1,443,1,NaN,NaN,NaN,NaN,989.2,38.82,38.83,38.98,38.96,-91.12,-90.72,-90.75,-91.15,0.03095,1,156,46,NaN,-119.7,26.21,4.206e+04,155,994,0.064,6.136e+08,-95.62,35.42,0,0
6,0,39.0173,-90.9680,2.353,0.2986,0.3455,2.636,2.894e-30,2.894e-30,2.894e-30,2.894e-30,2.894e-30,2.894e-30,2.894e-30,2.894e-30,2.894e-30,2.894e-30,2.894e-30,2.894e-30,2.894e-30,2.894e-30,2.894e-30,2.894e-30,2.894e-30,2.894e-30,2.894e-30,2.894e-30,2.894e-30,2.894e-30,2.894e-30,2.894e-30,2.894e-30,7.477,7.533,7.59,7.659,7.681,NaN,NaN,1.551e-09,1.481e-09,1.411e-09,1.34e-09,1.27e-09,1.13e-09,1.1e-09,9.894e-10,8.62e-10,8.108e-10,7.681e-10,7.213e-10,6.043e-10,5.29e-10,3.024e-10,1.299e-10,7.378e-11,6.39e-11,5.588e-11,4.613e-11,4.11e-11,4.12e-11,3.6e-11,3.621e-11,4.175e-11,4.417e-11,5.457e-11,4.477e-11,6.75e-11,1.996e-10,1020,1015,1010,1005,1000,990,988,980,970,960,945,925,900,875,850,825,800,770,740,700,660,610,560,500,450,439,400,350,280,200,1e-30,1e-30,1e-30,1e-30,1e-30,1e-30,1e-30,1e-30,1e-30,1e-30,1e-30,1e-30,1e-30,1e-30,1e-30,1e-30,1e-30,1e-30,1e-30,1e-30,1e-30,1e-30,1e-30,1e-30,1e-30,2.584,2.603,2.623,2.647,2.654,1,439,1,NaN,NaN,NaN,NaN,988,38.94,38.96,39.1,39.08,-91.15,-90.74,-90.78,-91.18,0.02824,1,155.7,46,NaN,-119.9,26.26,4.206e+04,158,993,0.064,6.136e+08,-95.63,35.42,0,0
7,0,39.1378,-90.9960,2.353,0.2835,0.3745,2.638,2.67e-30,2.67e-30,2.67e-30,2.67e-30,2.67e-30,2.67e-30,2.67e-30,2.67e-30,2.67e-30,2.67e-30,2.67e-30,2.67e-30,2.67e-30,2.67e-30,2.67e-30,2.67e-30,2.67e-30,2.67e-30,2.67e-30,2.67e-30,2.67e-30,2.67e-30,2.67e-30,2.67e-30,2.67e-30,6.926,6.959,7.011,7.073,7.092,NaN,NaN,1.677e-09,1.591e-09,1.504e-09,1.418e-09,1.332e-09,1.159e-09,1.085e-09,9.863e-10,8.214e-10,7.504e-10,7.033e-10,6.587e-10,5.689e-10,4.907e-10,3.371e-10,1.29e-10,7.207e-11,6.366e-11,5.607e-11,4.639e-11,4.048e-11,3.825e-11,3.472e-11,3.562e-11,5.201e-11,6.3e-11,7.601e-11,5.749e-11,6.432e-11,1.964e-10,1020,1015,1010,1005,1000,990,985.9,980,970,960,945,925,900,875,850,825,800,770,740,700,660,610,560,500,450,424,400,350,280,200,1e-30,1e-30,1e-30,1e-30,1e-30,1e-30,1e-30,1e-30,1e-30,1e-30,1e-30,1e-30,1e-30,1e-30,1e-30,1e-30,1e-30,1e-30,1e-30,1e-30,1e-30,1e-30,1e-30,1e-30,1e-30,2.594,2.606,2.625,2.649,2.656,1,424,1,NaN,NaN,NaN,NaN,985.9,39.06,39.08,39.22,39.2,-91.18,-90.77,-90.8,-91.21,0.02892,1,155.5,46,NaN,-120.1,26.3,4.206e+04,225,985,0.064,6.136e+08,-95.63,35.42,0,0
8,0,39.2582,-91.0240,2.354,0.2698,0.36,2.625,2.778e-30,2.778e-30,2.778e-30,2.778e-30,2.778e-30,2.778e-30,0.009424,0.009718,0.01029,0.01087,0.01175,0.01296,0.01453,0.01599,0.01752,0.01911,0.02078,0.0226,0.02452,0.02717,0.0297,0.03299,0.03631,0.04022,0.04344,7.218,7.229,7.285,7.352,7.373,NaN,NaN,1.573e-09,1.499e-09,1.426e-09,1.352e-09,1.278e-09,1.131e-09,1.058e-09,9.831e-10,8.443e-10,7.736e-10,7.281e-10,6.846e-10,6.145e-10,5.146e-10,3.475e-10,1.417e-10,7.495e-11,6.32e-11,5.529e-11,4.662e-11,4.053e-11,3.705e-11,3.378e-11,3.532e-11,6.257e-11,8.826e-11,9.367e-11,6.25e-11,6.395e-11,1.961e-10,1020,1015,1010,1005,1000,990,985.2,980,970,960,945,925,900,875,850,825,800,770,740,700,660,610,560,500,450,407,400,350,280,200,1e-30,1e-30,1e-30,1e-30,1e-30,1e-30,0.003393,0.003499,0.003703,0.003914,0.004231,0.004667,0.005231,0.005757,0.006306,0.006881,0.007481,0.008137,0.008829,0.00978,0.01069,0.01188,0.01307,0.01448,0.01564,2.599,2.602,2.623,2.647,2.654,0.958,407,0.991,NaN,NaN,NaN,NaN,985.2,39.18,39.2,39.34,39.32,-91.21,-90.8,-90.83,-91.24,0.02814,1,155.2,46,NaN,-120.4,26.35,4.206e+04,232,984,0.045,6.136e+08,-95.64,35.42,0,0
9,0,39.3786,-91.0521,2.354,0.2559,0.2633,2.604,3.798e-30,3.798e-30,3.798e-30,3.798e-30,3.798e-30,3.798e-30,0.03118,0.03258,0.03458,0.03665,0.03976,0.04403,0.04955,0.0547,0.06007,0.06569,0.07157,0.07798,0.08475,0.09406,0.103,0.1146,0.1263,0.14,0.1513,0.1627,9.876,9.94,10.04,10.07,NaN,NaN,2.274e-09,2.17e-09,2.065e-09,1.96e-09,1.856e-09,1.647e-09,1.584e-09,1.438e-09,1.251e-09,1.145e-09,1.038e-09,9.411e-10,8.392e-10,6.522e-10,3.325e-10,1.609e-10,8.118e-11,6.316e-11,5.442e-11,4.677e-11,4.064e-11,3.656e-11,3.319e-11,3.591e-11,7.548e-11,1.018e-10,9e-11,5.937e-11,6.47e-11,1.948e-10,1020,1015,1010,1005,1000,990,987.1,980,970,960,945,925,900,875,850,825,800,770,740,700,660,610,560,500,450,400,388,350,280,200,1e-30,1e-30,1e-30,1e-30,1e-30,1e-30,0.008208,0.008577,0.009105,0.009647,0.01047,0.01159,0.01305,0.0144,0.01581,0.01729,0.01884,0.02053,0.02231,0.02476,0.02712,0.03016,0.03324,0.03686,0.03984,0.04284,2.6,2.617,2.643,2.652,0.893,388,0.977,NaN,NaN,NaN,NaN,987.1,39.3,39.32,39.46,39.44,-91.23,-90.83,-90.86,-91.27,0.02588,1,155,46,NaN,-120.6,26.4,4.206e+04,169,992,0.045,6.136e+08,-95.64,35.42,0,0
