ArrayShape,11,5
AlongTrackInd,AcrossTrackInd,Latitude,Longitude,BEHRNO2apriori-00,BEHRNO2apriori-01,BEHRNO2apriori-02,BEHRNO2apriori-03,BEHRNO2apriori-04,BEHRNO2apriori-05,BEHRNO2apriori-06,BEHRNO2apriori-07,BEHRNO2apriori-08,BEHRNO2apriori-09,BEHRNO2apriori-10,BEHRNO2apriori-11,BEHRNO2apriori-12,BEHRNO2apriori-13,BEHRNO2apriori-14,BEHRNO2apriori-15,BEHRNO2apriori-16,BEHRNO2apriori-17,BEHRNO2apriori-18,BEHRNO2apriori-19,BEHRNO2apriori-20,BEHRNO2apriori-21,BEHRNO2apriori-22,BEHRNO2apriori-23,BEHRNO2apriori-24,BEHRNO2apriori-25,BEHRNO2apriori-26,BEHRNO2apriori-27,BEHRNO2apriori-28,BEHRNO2apriori-29,BEHRPressureLevels-00,BEHRPressureLevels-01,BEHRPressureLevels-02,BEHRPressureLevels-03,BEHRPressureLevels-04,BEHRPressureLevels-05,BEHRPressureLevels-06,BEHRPressureLevels-07,BEHRPressureLevels-08,BEHRPressureLevels-09,BEHRPressureLevels-10,BEHRPressureLevels-11,BEHRPressureLevels-12,BEHRPressureLevels-13,BEHRPressureLevels-14,BEHRPressureLevels-15,BEHRPressureLevels-16,BEHRPressureLevels-17,BEHRPressureLevels-18,BEHRPressureLevels-19,BEHRPressureLevels-20,BEHRPressureLevels-21,BEHRPressureLevels-22,BEHRPressureLevels-23,BEHRPressureLevels-24,BEHRPressureLevels-25,BEHRPressureLevels-26,BEHRPressureLevels-27,BEHRPressureLevels-28,BEHRPressureLevels-29,BEHRScatteringWeights-00,BEHRScatteringWeights-01,BEHRScatteringWeights-02,BEHRScatteringWeights-03,BEHRScatteringWeights-04,BEHRScatteringWeights-05,BEHRScatteringWeights-06,BEHRScatteringWeights-07,BEHRScatteringWeights-08,BEHRScatteringWeights-09,BEHRScatteringWeights-10,BEHRScatteringWeights-11,BEHRScatteringWeights-12,BEHRScatteringWeights-13,BEHRScatteringWeights-14,BEHRScatteringWeights-15,BEHRScatteringWeights-16,BEHRScatteringWeights-17,BEHRScatteringWeights-18,BEHRScatteringWeights-19,BEHRScatteringWeights-20,BEHRScatteringWeights-21,BEHRScatteringWeights-22,BEHRScatteringWeights-23,BEHRScatteringWeights-24,BEHRScatteringWeights-25,BEHRScatteringWeights-26,BEHRScatteringWeights-27,BEHRScatteringWeights-28,BEHRScatteringWeights-29,r,theta,BEHRSlantColumnAmountNO2Trop,ModelSCD
10,0,39.4403,-91.0138,NaN,NaN,NaN,NaN,NaN,3.487e-09,3.426e-09,2.869e-09,2.468e-09,2.308e-09,2.131e-09,1.891e-09,1.281e-09,9.007e-10,5.603e-10,1.142e-10,4.954e-11,4.213e-11,3.909e-11,3.621e-11,2.881e-11,2.017e-11,1.36e-11,1.122e-11,1.118e-11,1.171e-11,1.454e-11,2.04e-11,4.164e-11,8.297e-11,1020,1015,1010,1005,1000,991.2,990,980,970,960,945,925,900,875,850,825,800,770,755,740,700,660,610,560,500,450,400,350,280,200,1e-30,1e-30,1e-30,1e-30,1e-30,0.335,0.3369,0.3528,0.3692,0.3859,0.4112,0.4459,0.4908,0.532,0.575,0.6199,0.6669,0.7176,1.263,1.291,1.366,1.436,1.527,1.618,1.724,1.813,1.903,1.993,2.119,2.232,0.9627,147.8,1.972e+15,2.877e+15
0,1,38.2773,-90.3885,NaN,NaN,NaN,NaN,NaN,1.992e-09,1.94e-09,1.692e-09,1.509e-09,1.435e-09,1.359e-09,1.277e-09,1.079e-09,9.847e-10,7.848e-10,1.759e-10,7.999e-11,4.975e-11,3.834e-11,2.932e-11,2.116e-11,1.385e-11,1.115e-11,1.093e-11,1.256e-11,1.719e-11,2.445e-11,2.727e-11,2.447e-11,5.473e-11,1020,1015,1010,1005,1000,992.2,990,980,970,960,945,925,900,875,850,825,800,770,740,700,660,610,564,560,500,450,400,350,280,200,1e-30,1e-30,1e-30,1e-30,1e-30,0.2364,0.2393,0.2522,0.2655,0.2792,0.2998,0.328,0.3646,0.398,0.4329,0.4693,0.5074,0.5484,0.5916,0.6508,0.7074,0.7802,1.743,1.749,1.838,1.915,1.993,2.069,2.174,2.268,0.6767,-106.2,6.143e+14,1.81e+15
1,1,38.3973,-90.4233,NaN,NaN,NaN,NaN,NaN,NaN,4.258e-09,3.636e-09,3.108e-09,2.913e-09,2.718e-09,2.453e-09,1.76e-09,1.589e-09,1.367e-09,4.147e-10,1.19e-10,5.658e-11,3.776e-11,2.826e-11,2.135e-11,1.404e-11,1.097e-11,1.103e-11,1.222e-11,1.621e-11,2.406e-11,2.89e-11,2.593e-11,5.945e-11,1020,1015,1010,1005,1000,990,989.2,980,970,960,945,925,900,875,850,825,800,770,740,700,660,610,560,557,500,450,400,350,280,200,1e-30,1e-30,1e-30,1e-30,1e-30,1e-30,0.2137,0.2255,0.2387,0.2522,0.2727,0.3006,0.3368,0.3701,0.4048,0.441,0.4788,0.5196,0.5626,0.6215,0.6778,0.7502,0.8228,1.76,1.844,1.921,1.998,2.073,2.178,2.271,0.5751,-112.9,1.384e+15,2.725e+15
2,1,38.5173,-90.4582,NaN,NaN,NaN,NaN,NaN,NaN,5.568e-09,4.526e-09,3.645e-09,3.369e-09,3.147e-09,2.833e-09,1.891e-09,1.442e-09,1.175e-09,5.49e-10,1.761e-10,6.903e-11,3.875e-11,2.766e-11,2.147e-11,1.414e-11,1.104e-11,1.189e-11,1.384e-11,1.555e-11,2.375e-11,3.08e-11,2.718e-11,6.389e-11,1020,1015,1010,1005,1000,990,989.8,980,970,960,945,925,900,875,850,825,800,770,740,700,660,610,560,500,471,450,400,350,280,200,1e-30,1e-30,1e-30,1e-30,1e-30,1e-30,0.2842,0.2987,0.3139,0.3295,0.3531,0.3853,0.427,0.4653,0.5053,0.547,0.5906,0.6376,0.6871,0.755,0.8197,0.9031,0.9866,1.084,1.815,1.853,1.939,2.024,2.14,2.246,0.4846,-122.3,1.052e+15,3.693e+15
3,1,38.6372,-90.4932,NaN,NaN,NaN,NaN,NaN,NaN,6.145e-09,4.96e-09,3.988e-09,3.682e-09,3.437e-09,3.116e-09,2.216e-09,1.436e-09,1.107e-09,6.226e-10,1.8e-10,6.903e-11,3.816e-11,2.737e-11,2.132e-11,1.406e-11,1.089e-11,1.134e-11,1.256e-11,1.475e-11,2.257e-11,3.169e-11,3.114e-11,6.851e-11,1020,1015,1010,1005,1000,990,989.6,980,970,960,945,925,900,875,850,825,800,770,740,700,660,610,560,500,480,450,400,350,280,200,1e-30,1e-30,1e-30,1e-30,1e-30,1e-30,0.2847,0.2992,0.3146,0.3304,0.3543,0.3871,0.4295,0.4684,0.509,0.5514,0.5957,0.6435,0.6939,0.7629,0.8286,0.9133,0.9981,1.097,1.792,1.846,1.933,2.018,2.137,2.244,0.4126,-135.4,2.513e+15,3.981e+15
4,1,38.7571,-90.5283,NaN,NaN,NaN,NaN,NaN,5.453e-09,5.176e-09,4.044e-09,3.271e-09,3.031e-09,2.822e-09,2.326e-09,1.494e-09,1.199e-09,8.769e-10,4.22e-10,1.11e-10,5.448e-11,3.84e-11,2.854e-11,2.139e-11,1.398e-11,1.097e-11,1.131e-11,1.135e-11,1.46e-11,2.182e-11,3.24e-11,3.582e-11,7.023e-11,1020,1015,1010,1005,1000,992.6,990,980,970,960,945,925,900,875,850,825,800,770,740,700,660,610,560,506,500,450,400,350,280,200,1e-30,1e-30,1e-30,1e-30,1e-30,0.3443,0.348,0.3618,0.376,0.3906,0.4126,0.4428,0.4817,0.5175,0.5546,0.5935,0.6341,0.6779,0.7241,0.7873,0.8475,0.9249,1.002,1.802,1.812,1.892,1.972,2.052,2.161,2.26,0.3701,-152.7,1.456e+15,3.751e+15
5,1,38.8770,-90.5634,NaN,NaN,NaN,NaN,NaN,3.962e-09,3.648e-09,2.928e-09,2.53e-09,2.43e-09,2.208e-09,1.642e-09,1.252e-09,1.082e-09,7.115e-10,3.577e-10,1.206e-10,5.424e-11,3.82e-11,2.878e-11,2.055e-11,1.363e-11,1.103e-11,1.123e-11,1.139e-11,1.418e-11,2.085e-11,3.276e-11,3.934e-11,7.171e-11,1020,1015,1010,1005,1000,994.6,990,980,970,960,945,925,900,875,850,825,800,770,740,700,660,610,560,526,500,450,400,350,280,200,1e-30,1e-30,1e-30,1e-30,1e-30,0.3378,0.3444,0.3588,0.3734,0.3885,0.4113,0.4425,0.4828,0.5197,0.5581,0.5983,0.6402,0.6855,0.7332,0.7986,0.8607,0.9406,1.021,1.75,1.794,1.876,1.959,2.04,2.154,2.255,0.3674,-172.2,2.183e+15,3.133e+15
6,1,38.9969,-90.5986,NaN,NaN,NaN,NaN,NaN,2.239e-09,2.204e-09,1.982e-09,1.826e-09,1.755e-09,1.577e-09,1.18e-09,1.046e-09,9.233e-10,5.908e-10,2.655e-10,9.943e-11,5.235e-11,3.775e-11,2.712e-11,1.912e-11,1.297e-11,1.086e-11,1.089e-11,1.124e-11,1.349e-11,1.891e-11,3.163e-11,3.999e-11,7.233e-11,1020,1015,1010,1005,1000,991.6,990,980,970,960,945,925,900,875,850,825,800,770,740,700,660,610,560,554,500,450,400,350,280,200,1e-30,1e-30,1e-30,1e-30,1e-30,0.2868,0.2894,0.3046,0.3203,0.3363,0.3607,0.394,0.437,0.4766,0.5177,0.5608,0.6058,0.6544,0.7056,0.7757,0.8423,0.9281,1.014,1.66,1.753,1.84,1.928,2.015,2.136,2.245,0.4053,170.1,3.156e+15,2.204e+15
7,1,39.1168,-90.6339,NaN,NaN,NaN,NaN,NaN,2.095e-09,2.054e-09,1.82e-09,1.664e-09,1.603e-09,1.534e-09,1.362e-09,1.084e-09,8.936e-10,5.447e-10,2.08e-10,8.846e-11,5.147e-11,3.817e-11,2.694e-11,1.906e-11,1.316e-11,1.219e-11,1.156e-11,1.216e-11,1.394e-11,1.852e-11,3.004e-11,4.125e-11,7.541e-11,1020,1015,1010,1005,1000,991.9,990,980,970,960,945,925,900,875,850,825,800,770,740,700,660,610,580,560,500,450,400,350,280,200,1e-30,1e-30,1e-30,1e-30,1e-30,0.2929,0.2959,0.3111,0.3268,0.3429,0.3673,0.4006,0.4438,0.4834,0.5246,0.5678,0.6128,0.6615,0.7128,0.7832,0.8498,0.9356,1.614,1.651,1.753,1.84,1.928,2.015,2.136,2.246,0.4741,156.4,6.966e+14,2.204e+15
8,1,39.2366,-90.6693,NaN,NaN,NaN,NaN,NaN,2.143e-09,2.121e-09,1.967e-09,1.851e-09,1.797e-09,1.731e-09,1.602e-09,1.19e-09,8.881e-10,4.892e-10,1.541e-10,6.915e-11,4.454e-11,3.483e-11,2.643e-11,1.896e-11,1.301e-11,1.227e-11,1.136e-11,1.234e-11,1.351e-11,1.779e-11,2.844e-11,4.318e-11,7.707e-11,1020,1015,1010,1005,1000,991.5,990,980,970,960,945,925,900,875,850,825,800,770,740,700,660,610,588,560,500,450,400,350,280,200,1e-30,1e-30,1e-30,1e-30,1e-30,0.3027,0.3051,0.3204,0.3362,0.3523,0.3768,0.4103,0.4536,0.4934,0.5348,0.5782,0.6235,0.6724,0.724,0.7947,0.8616,0.9478,1.598,1.649,1.752,1.839,1.927,2.014,2.136,2.246,0.5627,146.6,2.284e+15,2.339e+15
