ArrayShape,11,5
AlongTrackInd,AcrossTrackInd,Latitude,Longitude,AMFStrat,AMFTrop,BEHRAMFTrop,BEHRAMFTropVisOnly,BEHRAvgKernels-00,BEHRAvgKernels-01,BEHRAvgKernels-02,BEHRAvgKernels-03,BEHRAvgKernels-04,BEHRAvgKernels-05,BEHRAvgKernels-06,BEHRAvgKernels-07,BEHRAvgKernels-08,BEHRAvgKernels-09,BEHRAvgKernels-10,BEHRAvgKernels-11,BEHRAvgKernels-12,BEHRAvgKernels-13,BEHRAvgKernels-14,BEHRAvgKernels-15,BEHRAvgKernels-16,BEHRAvgKernels-17,BEHRAvgKernels-18,BEHRAvgKernels-19,BEHRAvgKernels-20,BEHRAvgKernels-21,BEHRAvgKernels-22,BEHRAvgKernels-23,BEHRAvgKernels-24,BEHRAvgKernels-25,BEHRAvgKernels-26,BEHRAvgKernels-27,BEHRAvgKernels-28,BEHRAvgKernels-29,BEHRColumnAmountNO2Trop,BEHRColumnAmountNO2TropVisOnly,BEHRNO2apriori-00,BEHRNO2apriori-01,BEHRNO2apriori-02,BEHRNO2apriori-03,BEHRNO2apriori-04,BEHRNO2apriori-05,BEHRNO2apriori-06,BEHRNO2apriori-07,BEHRNO2apriori-08,BEHRNO2apriori-09,BEHRNO2apriori-10,BEHRNO2apriori-11,BEHRNO2apriori-12,BEHRNO2apriori-13,BEHRNO2apriori-14,BEHRNO2apriori-15,BEHRNO2apriori-16,BEHRNO2apriori-17,BEHRNO2apriori-18,BEHRNO2apriori-19,BEHRNO2apriori-20,BEHRNO2apriori-21,BEHRNO2apriori-22,BEHRNO2apriori-23,BEHRNO2apriori-24,BEHRNO2apriori-25,BEHRNO2apriori-26,BEHRNO2apriori-27,BEHRNO2apriori-28,BEHRNO2apriori-29,BEHRPressureLevels-00,BEHRPressureLevels-01,BEHRPressureLevels-02,BEHRPressureLevels-03,BEHRPressureLevels-04,BEHRPressureLevels-05,BEHRPressureLevels-06,BEHRPressureLevels-07,BEHRPressureLevels-08,BEHRPressureLevels-09,BEHRPressureLevels-10,BEHRPressureLevels-11,BEHRPressureLevels-12,BEHRPressureLevels-13,BEHRPressureLevels-14,BEHRPressureLevels-15,BEHRPressureLevels-16,BEHRPressureLevels-17,BEHRPressureLevels-18,BEHRPressureLevels-19,BEHRPressureLevels-20,BEHRPressureLevels-21,BEHRPressureLevels-22,BEHRPressureLevels-23,BEHRPressureLevels-24,BEHRPressureLevels-25,BEHRPressureLevels-26,BEHRPressureLevels-27,BEHRPressureLevels-28,BEHRPressureLevels-29,BEHRScatteringWeights-00,BEHRScatteringWeights-01,BEHRScatteringWeights-02,BEHRScatteringWeights-03,BEHRScatteringWeights-04,BEHRScatteringWeights-05,BEHRScatteringWeights-06,BEHRScatteringWeights-07,BEHRScatteringWeights-08,BEHRScatteringWeights-09,BEHRScatteringWeights-10,BEHRScatteringWeights-11,BEHRScatteringWeights-12,BEHRScatteringWeights-13,BEHRScatteringWeights-14,BEHRScatteringWeights-15,BEHRScatteringWeights-16,BEHRScatteringWeights-17,BEHRScatteringWeights-18,BEHRScatteringWeights-19,BEHRScatteringWeights-20,BEHRScatteringWeights-21,BEHRScatteringWeights-22,BEHRScatteringWeights-23,BEHRScatteringWeights-24,BEHRScatteringWeights-25,BEHRScatteringWeights-26,BEHRScatteringWeights-27,BEHRScatteringWeights-28,BEHRScatteringWeights-29,CloudFraction,CloudPressure,CloudRadianceFraction,ColumnAmountNO2,ColumnAmountNO2Strat,ColumnAmountNO2Trop,ColumnAmountNO2TropStd,GLOBETerpres,Latcorn-00,Latcorn-01,Latcorn-02,Latcorn-03,Loncorn-00,Loncorn-01,Loncorn-02,Loncorn-03,MODISAlbedo,MODISCloud,RelativeAzimuthAngle,Row,SlantColumnAmountNO2,SolarAzimuthAngle,SolarZenithAngle,Swath,TerrainHeight,TerrainPressure,TerrainReflectivity,Time,ViewingAzimuthAngle,ViewingZenithAngle,XTrackQualityFlags,vcdQualityFlags
0,0,38.2771,-91.5360,2.596,1.168,0.6718,1.266,1.489e-30,1.489e-30,1.489e-30,1.489e-30,1.489e-30,1.489e-30,1.489e-30,0.3462,0.3698,0.3986,0.4419,0.5013,0.578,0.6507,0.7263,0.8054,1.888,1.921,2.018,2.119,2.259,2.394,2.57,2.749,2.961,3.143,3.327,3.512,3.772,4.021,1.391e+15,7.383e+14,9.527e-10,9.187e-10,8.847e-10,8.507e-10,8.167e-10,7.486e-10,6.806e-10,6.691e-10,6.126e-10,5.555e-10,5.222e-10,4.925e-10,4.534e-10,3.811e-10,2.905e-10,1.586e-10,9.437e-11,7.016e-11,5.218e-11,4.052e-11,3.108e-11,2.184e-11,1.42e-11,1.172e-11,1.279e-11,1.675e-11,2.03e-11,2.387e-11,2.735e-11,5.729e-11,1020,1015,1010,1005,1000,990,980,978.4,970,960,945,925,900,875,850,825,809,800,770,740,700,660,610,560,500,450,400,350,280,200,1e-30,1e-30,1e-30,1e-30,1e-30,1e-30,1e-30,0.2326,0.2484,0.2678,0.2969,0.3368,0.3883,0.4371,0.4879,0.5411,1.269,1.291,1.355,1.424,1.517,1.608,1.727,1.847,1.989,2.111,2.235,2.359,2.534,2.702,0.074,809,0.267,4.936e+15,4.136e+15,8.001e+14,1.381e+15,978.4,38.19,38.2,38.36,38.35,-91.79,-91.23,-91.26,-91.82,0.02103,0,155.4,51,1.125e+16,-117.8,29.59,4.18e+04,301,976,0.036,6.12e+08,-93.21,46.99,0,0
1,0,38.3976,-91.5597,2.597,1.149,0.6051,1.219,1.653e-30,1.653e-30,1.653e-30,1.653e-30,1.653e-30,1.653e-30,0.3817,0.3859,0.4172,0.4496,0.4982,0.5648,0.651,0.7323,0.817,0.9055,0.9979,2.124,2.228,2.341,2.498,2.649,2.845,3.044,3.281,3.483,3.689,3.895,4.186,4.464,1.181e+15,5.863e+14,1.071e-09,1.04e-09,1.01e-09,9.795e-10,9.49e-10,8.881e-10,8.35e-10,8.272e-10,7.663e-10,7.195e-10,6.868e-10,6.524e-10,5.475e-10,4.327e-10,3.238e-10,1.808e-10,8.024e-11,7.926e-11,5.52e-11,4.037e-11,3.042e-11,2.135e-11,1.4e-11,1.139e-11,1.21e-11,1.564e-11,1.894e-11,2.245e-11,2.688e-11,5.734e-11,1020,1015,1010,1005,1000,990,981.3,980,970,960,945,925,900,875,850,825,800,799,770,740,700,660,610,560,500,450,400,350,280,200,1e-30,1e-30,1e-30,1e-30,1e-30,1e-30,0.231,0.2335,0.2524,0.272,0.3014,0.3417,0.3939,0.4431,0.4943,0.5479,0.6038,1.285,1.348,1.417,1.511,1.603,1.721,1.842,1.985,2.108,2.232,2.357,2.533,2.701,0.073,799,0.261,4.762e+15,4.14e+15,6.219e+14,1.31e+15,981.3,38.31,38.32,38.48,38.47,-91.81,-91.25,-91.28,-91.85,0.02057,0.02133,155.2,51,1.104e+16,-118,29.64,4.18e+04,219,986,0.036,6.12e+08,-93.21,46.99,0,0
2,0,38.5181,-91.5835,2.597,1.154,0.5899,1.202,1.695e-30,1.695e-30,1.695e-30,1.695e-30,1.695e-30,1.695e-30,0.3948,0.4054,0.4377,0.471,0.5211,0.5898,0.6786,0.7622,0.8493,0.9404,2.17,2.174,2.285,2.402,2.562,2.718,2.919,3.124,3.367,3.574,3.785,3.997,4.295,4.58,2.569e+15,1.261e+15,1.089e-09,1.063e-09,1.037e-09,1.01e-09,9.843e-10,9.319e-10,8.964e-10,8.795e-10,8.271e-10,7.881e-10,7.551e-10,7.107e-10,5.491e-10,4.266e-10,3.238e-10,1.87e-10,9.137e-11,8.865e-11,5.687e-11,4.022e-11,3.022e-11,2.113e-11,1.395e-11,1.135e-11,1.17e-11,1.461e-11,1.769e-11,2.096e-11,2.632e-11,5.757e-11,1020,1015,1010,1005,1000,990,983.3,980,970,960,945,925,900,875,850,825,801,800,770,740,700,660,610,560,500,450,400,350,280,200,1e-30,1e-30,1e-30,1e-30,1e-30,1e-30,0.2329,0.2391,0.2582,0.2778,0.3074,0.3479,0.4003,0.4496,0.501,0.5547,1.28,1.282,1.348,1.417,1.511,1.603,1.722,1.843,1.986,2.108,2.233,2.358,2.534,2.702,0.073,801,0.258,5.457e+15,4.144e+15,1.312e+15,1.33e+15,983.3,38.43,38.44,38.6,38.59,-91.84,-91.27,-91.3,-91.87,0.02079,0.04,155,51,1.186e+16,-118.2,29.68,4.18e+04,188,989,0.037,6.12e+08,-93.2,46.99,0,0
3,0,38.6386,-91.6072,2.598,1.166,0.585,1.223,1.709e-30,1.709e-30,1.709e-30,1.709e-30,1.709e-30,1.709e-30,0.4145,0.4358,0.4676,0.5004,0.5498,0.6175,0.705,0.7871,0.8726,0.962,2.196,2.262,2.371,2.486,2.645,2.798,2.997,3.198,3.438,3.642,3.85,4.059,4.353,4.633,2.44e+15,1.167e+15,1.577e-09,1.514e-09,1.451e-09,1.388e-09,1.325e-09,1.198e-09,1.157e-09,1.072e-09,9.493e-10,8.952e-10,8.41e-10,7.368e-10,5.379e-10,4.032e-10,2.937e-10,1.72e-10,1.344e-10,8.614e-11,5.489e-11,4.011e-11,3.038e-11,2.102e-11,1.397e-11,1.147e-11,1.163e-11,1.355e-11,1.619e-11,1.941e-11,2.689e-11,5.847e-11,1020,1015,1010,1005,1000,990,986.8,980,970,960,945,925,900,875,850,825,816,800,770,740,700,660,610,560,500,450,400,350,280,200,1e-30,1e-30,1e-30,1e-30,1e-30,1e-30,0.2425,0.2549,0.2736,0.2928,0.3217,0.3612,0.4125,0.4605,0.5105,0.5628,1.285,1.323,1.387,1.455,1.547,1.637,1.753,1.871,2.011,2.131,2.252,2.374,2.547,2.711,0.076,816,0.271,5.369e+15,4.145e+15,1.224e+15,1.321e+15,986.8,38.56,38.56,38.72,38.72,-91.86,-91.3,-91.33,-91.9,0.02306,0.03692,154.8,51,1.177e+16,-118.4,29.73,4.18e+04,171,992,0.037,6.12e+08,-93.2,46.99,0,0
4,0,38.7592,-91.6310,2.599,1.19,0.5983,1.253,1.671e-30,1.671e-30,1.671e-30,1.671e-30,1.671e-30,1.671e-30,0.3894,0.4073,0.4379,0.4694,0.5169,0.582,0.6662,0.7453,0.8276,2.144,2.148,2.244,2.351,2.462,2.616,2.764,2.956,3.151,3.383,3.581,3.782,3.984,4.269,4.539,2.994e+15,1.429e+15,1.373e-09,1.325e-09,1.276e-09,1.228e-09,1.179e-09,1.082e-09,1.042e-09,9.852e-10,8.902e-10,8.417e-10,7.921e-10,7.073e-10,5.219e-10,3.702e-10,2.799e-10,1.538e-10,1.499e-10,7.442e-11,5.263e-11,4.038e-11,3.026e-11,2.102e-11,1.411e-11,1.156e-11,1.158e-11,1.318e-11,1.548e-11,1.86e-11,2.808e-11,5.99e-11,1020,1015,1010,1005,1000,990,985.9,980,970,960,945,925,900,875,850,826,825,800,770,740,700,660,610,560,500,450,400,350,280,200,1e-30,1e-30,1e-30,1e-30,1e-30,1e-30,0.233,0.2437,0.262,0.2809,0.3093,0.3482,0.3986,0.4459,0.4952,1.283,1.285,1.343,1.406,1.473,1.565,1.654,1.769,1.886,2.024,2.142,2.263,2.383,2.554,2.716,0.08,826,0.285,5.651e+15,4.146e+15,1.505e+15,1.265e+15,985.9,38.68,38.68,38.84,38.84,-91.89,-91.32,-91.35,-91.92,0.02224,0.1025,154.5,51,1.214e+16,-118.7,29.78,4.18e+04,267,980,0.037,6.12e+08,-93.2,46.99,0,0
5,0,38.8798,-91.6549,2.6,1.24,0.6822,1.287,1.466e-30,1.466e-30,1.466e-30,1.466e-30,1.466e-30,1.466e-30,0.372,0.379,0.4051,0.432,0.4726,0.5281,0.6,0.6677,1.815,1.856,1.936,2.019,2.11,2.207,2.339,2.467,2.632,2.8,2.999,3.169,3.342,3.516,3.761,3.992,3.011e+15,1.596e+15,1.674e-09,1.601e-09,1.529e-09,1.457e-09,1.384e-09,1.239e-09,1.132e-09,1.095e-09,9.502e-10,8.535e-10,7.865e-10,6.903e-10,4.801e-10,3.336e-10,2.849e-10,2.396e-10,1.23e-10,6.208e-11,5.073e-11,4.132e-11,3.038e-11,2.145e-11,1.475e-11,1.2e-11,1.154e-11,1.29e-11,1.473e-11,1.724e-11,3.061e-11,6.46e-11,1020,1015,1010,1005,1000,990,982.7,980,970,960,945,925,900,875,863,850,825,800,770,740,700,660,610,560,500,450,400,350,280,200,1e-30,1e-30,1e-30,1e-30,1e-30,1e-30,0.2537,0.2585,0.2764,0.2947,0.3224,0.3603,0.4093,0.4555,1.238,1.266,1.321,1.377,1.44,1.505,1.596,1.683,1.796,1.91,2.046,2.162,2.28,2.398,2.566,2.723,0.083,863,0.296,5.803e+15,4.147e+15,1.656e+15,1.364e+15,982.7,38.8,38.8,38.96,38.96,-91.91,-91.34,-91.37,-91.94,0.02611,0.1514,154.3,51,1.241e+16,-118.9,29.82,4.18e+04,227,985,0.037,6.12e+08,-93.2,46.99,0,0
6,0,39.0002,-91.6787,2.602,1.128,0.7005,1.267,1.428e-30,1.428e-30,1.428e-30,1.428e-30,1.428e-30,1.428e-30,0.5006,0.5039,0.5303,0.5573,0.5982,0.6542,0.7267,0.7948,0.8658,0.94,1.857,1.93,2.02,2.116,2.247,2.373,2.537,2.703,2.899,3.067,3.236,3.408,3.651,3.879,1.017e+15,5.619e+14,1.923e-09,1.834e-09,1.744e-09,1.654e-09,1.564e-09,1.385e-09,1.227e-09,1.205e-09,1.026e-09,8.999e-10,8.222e-10,7.152e-10,4.789e-10,3.353e-10,2.281e-10,1.065e-10,9.989e-11,6.203e-11,5.138e-11,4.195e-11,3.052e-11,2.175e-11,1.513e-11,1.23e-11,1.164e-11,1.269e-11,1.45e-11,1.698e-11,3.193e-11,6.775e-11,1020,1015,1010,1005,1000,990,981.3,980,970,960,945,925,900,875,850,825,822,800,770,740,700,660,610,560,500,450,400,350,280,200,1e-30,1e-30,1e-30,1e-30,1e-30,1e-30,0.3507,0.353,0.3715,0.3904,0.419,0.4583,0.509,0.5568,0.6065,0.6585,1.301,1.352,1.415,1.482,1.574,1.663,1.777,1.893,2.031,2.148,2.267,2.387,2.557,2.717,0.073,822,0.245,4.779e+15,4.148e+15,6.314e+14,1.314e+15,981.3,38.92,38.92,39.08,39.08,-91.94,-91.37,-91.4,-91.97,0.03802,0.04308,154.1,51,1.108e+16,-119.1,29.87,4.18e+04,226,985,0.058,6.12e+08,-93.19,46.99,0,0
7,0,39.1207,-91.7025,2.605,1.188,0.7677,1.441,1.303e-30,1.303e-30,1.303e-30,1.303e-30,1.303e-30,1.303e-30,0.4829,0.4849,0.5061,0.5277,0.5605,0.6055,0.6636,0.7181,1.82,1.843,1.908,1.976,2.051,2.13,2.239,2.343,2.477,2.614,2.776,2.914,3.054,3.197,3.398,3.583,2.315e+15,1.233e+15,1.979e-09,1.887e-09,1.796e-09,1.705e-09,1.613e-09,1.43e-09,1.264e-09,1.247e-09,1.064e-09,9.359e-10,8.599e-10,7.614e-10,5.023e-10,3.44e-10,2.674e-10,2.316e-10,1.013e-10,6.316e-11,5.164e-11,4.183e-11,3.042e-11,2.179e-11,1.517e-11,1.231e-11,1.169e-11,1.24e-11,1.429e-11,1.692e-11,3.239e-11,7e-11,1020,1015,1010,1005,1000,990,980.9,980,970,960,945,925,900,875,859,850,825,800,770,740,700,660,610,560,500,450,400,350,280,200,1e-30,1e-30,1e-30,1e-30,1e-30,1e-30,0.3708,0.3723,0.3885,0.4052,0.4303,0.4648,0.5095,0.5513,1.397,1.415,1.465,1.517,1.575,1.636,1.719,1.799,1.902,2.007,2.131,2.237,2.345,2.454,2.609,2.751,0.095,859,0.318,5.644e+15,4.148e+15,1.496e+15,1.298e+15,980.9,39.04,39.04,39.2,39.2,-91.96,-91.39,-91.42,-91.99,0.04711,0.0175,153.9,51,1.216e+16,-119.3,29.92,4.18e+04,248,982,0.058,6.12e+08,-93.19,46.99,0,0
8,0,39.2412,-91.7264,2.608,1.276,0.8516,1.553,1.174e-30,1.174e-30,1.174e-30,1.174e-30,1.174e-30,1.174e-30,0.4253,0.4285,0.4457,0.4632,0.4899,0.5264,0.5737,1.725,1.754,1.806,1.86,1.917,1.98,2.046,2.137,2.223,2.336,2.449,2.585,2.7,2.818,2.937,3.106,3.259,2.006e+15,1.1e+15,1.826e-09,1.75e-09,1.674e-09,1.598e-09,1.522e-09,1.37e-09,1.245e-09,1.218e-09,1.067e-09,9.648e-10,9.005e-10,8.212e-10,5.335e-10,4.392e-10,3.418e-10,2.303e-10,9.908e-11,6.281e-11,4.995e-11,4.003e-11,2.955e-11,2.123e-11,1.471e-11,1.2e-11,1.163e-11,1.209e-11,1.42e-11,1.727e-11,3.243e-11,7.345e-11,1020,1015,1010,1005,1000,990,981.8,980,970,960,945,925,900,889,875,850,825,800,770,740,700,660,610,560,500,450,400,350,280,200,1e-30,1e-30,1e-30,1e-30,1e-30,1e-30,0.3622,0.3649,0.3795,0.3945,0.4172,0.4483,0.4885,1.469,1.493,1.538,1.584,1.632,1.686,1.742,1.82,1.893,1.989,2.086,2.201,2.3,2.4,2.501,2.645,2.775,0.121,889,0.377,5.488e+15,4.149e+15,1.339e+15,1.238e+15,981.8,39.16,39.16,39.32,39.32,-91.98,-91.41,-91.44,-92.02,0.052,0.02286,153.7,51,1.21e+16,-119.5,29.97,4.18e+04,232,984,0.058,6.12e+08,-93.19,46.99,0,0
9,0,39.3616,-91.7502,2.61,1.367,0.9048,1.623,1.105e-30,1.105e-30,1.105e-30,1.105e-30,1.105e-30,1.105e-30,0.3339,0.3384,0.3533,0.3686,0.3917,0.4234,1.678,1.694,1.739,1.785,1.834,1.885,1.941,2.001,2.082,2.16,2.26,2.362,2.483,2.586,2.691,2.799,2.951,3.086,1.689e+15,9.416e+14,1.791e-09,1.721e-09,1.652e-09,1.582e-09,1.512e-09,1.373e-09,1.275e-09,1.234e-09,1.095e-09,1.012e-09,9.518e-10,8.558e-10,6.001e-10,5.066e-10,3.327e-10,2.35e-10,1.065e-10,6.42e-11,4.875e-11,3.843e-11,2.866e-11,2.053e-11,1.427e-11,1.183e-11,1.16e-11,1.204e-11,1.445e-11,1.778e-11,3.21e-11,7.653e-11,1020,1015,1010,1005,1000,990,983.1,980,970,960,945,925,908,900,875,850,825,800,770,740,700,660,610,560,500,450,400,350,280,200,1e-30,1e-30,1e-30,1e-30,1e-30,1e-30,0.3021,0.3062,0.3197,0.3335,0.3544,0.3831,1.519,1.533,1.573,1.615,1.66,1.705,1.757,1.81,1.884,1.954,2.045,2.137,2.247,2.34,2.435,2.533,2.67,2.792,0.151,908,0.436,5.268e+15,4.15e+15,1.118e+15,1.191e+15,983.1,39.28,39.28,39.44,39.44,-92.01,-91.44,-91.47,-92.04,0.04631,0.1429,153.5,51,1.194e+16,-119.7,30.02,4.18e+04,222,985,0.058,6.12e+08,-93.19,46.99,0,0
