ArrayShape,11,5
AlongTrackInd,AcrossTrackInd,Latitude,Longitude,AMFStrat,AMFTrop,BEHRAMFTrop,BEHRAMFTropVisOnly,BEHRAvgKernels-00,BEHRAvgKernels-01,BEHRAvgKernels-02,BEHRAvgKernels-03,BEHRAvgKernels-04,BEHRAvgKernels-05,BEHRAvgKernels-06,BEHRAvgKernels-07,BEHRAvgKernels-08,BEHRAvgKernels-09,BEHRAvgKernels-10,BEHRAvgKernels-11,BEHRAvgKernels-12,BEHRAvgKernels-13,BEHRAvgKernels-14,BEHRAvgKernels-15,BEHRAvgKernels-16,BEHRAvgKernels-17,BEHRAvgKernels-18,BEHRAvgKernels-19,BEHRAvgKernels-20,BEHRAvgKernels-21,BEHRAvgKernels-22,BEHRAvgKernels-23,BEHRAvgKernels-24,BEHRAvgKernels-25,BEHRAvgKernels-26,BEHRAvgKernels-27,BEHRAvgKernels-28,BEHRAvgKernels-29,BEHRColumnAmountNO2Trop,BEHRColumnAmountNO2TropVisOnly,BEHRNO2apriori-00,BEHRNO2apriori-01,BEHRNO2apriori-02,BEHRNO2apriori-03,BEHRNO2apriori-04,BEHRNO2apriori-05,BEHRNO2apriori-06,BEHRNO2apriori-07,BEHRNO2apriori-08,BEHRNO2apriori-09,BEHRNO2apriori-10,BEHRNO2apriori-11,BEHRNO2apriori-12,BEHRNO2apriori-13,BEHRNO2apriori-14,BEHRNO2apriori-15,BEHRNO2apriori-16,BEHRNO2apriori-17,BEHRNO2apriori-18,BEHRNO2apriori-19,BEHRNO2apriori-20,BEHRNO2apriori-21,BEHRNO2apriori-22,BEHRNO2apriori-23,BEHRNO2apriori-24,BEHRNO2apriori-25,BEHRNO2apriori-26,BEHRNO2apriori-27,BEHRNO2apriori-28,BEHRNO2apriori-29,BEHRPressureLevels-00,BEHRPressureLevels-01,BEHRPressureLevels-02,BEHRPressureLevels-03,BEHRPressureLevels-04,BEHRPressureLevels-05,BEHRPressureLevels-06,BEHRPressureLevels-07,BEHRPressureLevels-08,BEHRPressureLevels-09,BEHRPressureLevels-10,BEHRPressureLevels-11,BEHRPressureLevels-12,BEHRPressureLevels-13,BEHRPressureLevels-14,BEHRPressureLevels-15,BEHRPressureLevels-16,BEHRPressureLevels-17,BEHRPressureLevels-18,BEHRPressureLevels-19,BEHRPressureLevels-20,BEHRPressureLevels-21,BEHRPressureLevels-22,BEHRPressureLevels-23,BEHRPressureLevels-24,BEHRPressureLevels-25,BEHRPressureLevels-26,BEHRPressureLevels-27,BEHRPressureLevels-28,BEHRPressureLevels-29,BEHRScatteringWeights-00,BEHRScatteringWeights-01,BEHRScatteringWeights-02,BEHRScatteringWeights-03,BEHRScatteringWeights-04,BEHRScatteringWeights-05,BEHRScatteringWeights-06,BEHRScatteringWeights-07,BEHRScatteringWeights-08,BEHRScatteringWeights-09,BEHRScatteringWeights-10,BEHRScatteringWeights-11,BEHRScatteringWeights-12,BEHRScatteringWeights-13,BEHRScatteringWeights-14,BEHRScatteringWeights-15,BEHRScatteringWeights-16,BEHRScatteringWeights-17,BEHRScatteringWeights-18,BEHRScatteringWeights-19,BEHRScatteringWeights-20,BEHRScatteringWeights-21,BEHRScatteringWeights-22,BEHRScatteringWeights-23,BEHRScatteringWeights-24,BEHRScatteringWeights-25,BEHRScatteringWeights-26,BEHRScatteringWeights-27,BEHRScatteringWeights-28,BEHRScatteringWeights-29,CloudFraction,CloudPressure,CloudRadianceFraction,ColumnAmountNO2,ColumnAmountNO2Strat,ColumnAmountNO2Trop,ColumnAmountNO2TropStd,GLOBETerpres,Latcorn-00,Latcorn-01,Latcorn-02,Latcorn-03,Loncorn-00,Loncorn-01,Loncorn-02,Loncorn-03,MODISAlbedo,MODISCloud,RelativeAzimuthAngle,Row,SlantColumnAmountNO2,SolarAzimuthAngle,SolarZenithAngle,Swath,TerrainHeight,TerrainPressure,TerrainReflectivity,Time,ViewingAzimuthAngle,ViewingZenithAngle,XTrackQualityFlags,vcdQualityFlags
0,0,37.8116,-91.7300,3.268,1.507,0.964,2.162,1.037e-30,1.037e-30,1.037e-30,1.037e-30,1.037e-30,1.037e-30,1.037e-30,0.1936,0.1961,0.2113,0.2341,0.2653,0.3057,0.3447,0.3854,0.4279,2.07,2.106,2.168,2.232,2.321,2.41,2.525,2.645,2.789,2.916,3.047,3.178,3.366,3.543,3.373e+15,1.504e+15,7.683e-10,7.352e-10,7.022e-10,6.691e-10,6.36e-10,5.699e-10,5.037e-10,4.477e-10,4.376e-10,3.737e-10,3.325e-10,3.09e-10,2.871e-10,2.614e-10,2.189e-10,1.458e-10,1.155e-10,7.584e-11,5.373e-11,4.349e-11,3.414e-11,2.433e-11,1.547e-11,1.308e-11,1.551e-11,2.003e-11,2.26e-11,2.076e-11,2.216e-11,5.984e-11,1020,1015,1010,1005,1000,990,980,971.6,970,960,945,925,900,875,850,825,816,800,770,740,700,660,610,560,500,450,400,350,280,200,1e-30,1e-30,1e-30,1e-30,1e-30,1e-30,1e-30,0.1867,0.1891,0.2037,0.2256,0.2557,0.2947,0.3323,0.3716,0.4125,1.996,2.031,2.09,2.152,2.237,2.323,2.435,2.549,2.688,2.811,2.937,3.064,3.245,3.416,0.167,816,0.513,5.964e+15,3.807e+15,2.157e+15,1.204e+15,971.6,37.51,37.89,38.08,37.71,-92.27,-91.19,-91.28,-92.37,0.0194,0.7436,45.61,2,1.624e+16,-157.8,20.42,4.164e+04,347,970,0.038,6.111e+08,67.79,63.15,0,0
1,0,37.9254,-91.7865,3.272,1.517,0.9068,2.352,1.103e-30,1.103e-30,1.103e-30,1.103e-30,1.103e-30,1.103e-30,1.103e-30,0.1752,0.1806,0.1941,0.2144,0.2421,0.2781,0.3125,0.3483,0.3857,2.404,2.44,2.499,2.56,2.644,2.729,2.839,2.953,3.091,3.213,3.339,3.465,3.647,3.813,NaN,NaN,1.034e-09,9.832e-10,9.324e-10,8.817e-10,8.309e-10,7.294e-10,6.28e-10,5.654e-10,5.265e-10,4.296e-10,3.779e-10,3.485e-10,3.218e-10,2.895e-10,2.328e-10,1.464e-10,1.156e-10,6.947e-11,5.272e-11,4.353e-11,3.345e-11,2.337e-11,1.506e-11,1.307e-11,1.504e-11,1.868e-11,2.149e-11,2.173e-11,2.584e-11,5.943e-11,1020,1015,1010,1005,1000,990,980,974,970,960,945,925,900,875,850,825,817,800,770,740,700,660,610,560,500,450,400,350,280,200,1e-30,1e-30,1e-30,1e-30,1e-30,1e-30,1e-30,0.1589,0.1638,0.176,0.1944,0.2196,0.2522,0.2833,0.3158,0.3498,2.18,2.213,2.266,2.322,2.398,2.475,2.575,2.678,2.803,2.914,3.028,3.142,3.307,3.458,0.214,817,0.595,NaN,NaN,NaN,NaN,974,37.62,38.01,38.19,37.82,-92.32,-91.24,-91.34,-92.42,0.02029,0.8748,45.8,2,NaN,-158.1,20.51,4.164e+04,314,974,0.038,6.111e+08,67.74,63.15,0,0
2,0,38.0391,-91.8431,3.277,1.47,0.8285,2.547,1.207e-30,1.207e-30,1.207e-30,1.207e-30,1.207e-30,1.207e-30,1.207e-30,0.1594,0.1652,0.1772,0.1952,0.2199,0.2519,0.2825,0.3144,0.3478,2.864,2.868,2.926,2.986,3.068,3.151,3.259,3.37,3.506,3.627,3.752,3.878,4.058,4.219,NaN,NaN,8.657e-10,8.3e-10,7.944e-10,7.587e-10,7.23e-10,6.517e-10,5.803e-10,5.425e-10,5.089e-10,4.412e-10,4.022e-10,3.756e-10,3.496e-10,3.151e-10,2.475e-10,1.491e-10,7.198e-11,6.75e-11,5.195e-11,4.266e-11,3.236e-11,2.239e-11,1.457e-11,1.269e-11,1.424e-11,1.733e-11,1.934e-11,2.127e-11,2.911e-11,5.86e-11,1020,1015,1010,1005,1000,990,980,974.9,970,960,945,925,900,875,850,825,802,800,770,740,700,660,610,560,500,450,400,350,280,200,1e-30,1e-30,1e-30,1e-30,1e-30,1e-30,1e-30,0.132,0.1368,0.1468,0.1617,0.1822,0.2087,0.2341,0.2605,0.2881,2.373,2.376,2.424,2.473,2.542,2.61,2.7,2.792,2.905,3.005,3.109,3.213,3.362,3.496,0.275,802,0.67,NaN,NaN,NaN,NaN,974.9,37.73,38.12,38.3,37.93,-92.38,-91.3,-91.39,-92.48,0.021,0.9461,45.99,2,NaN,-158.3,20.6,4.164e+04,271,979,0.037,6.111e+08,67.69,63.15,0,0
3,0,38.1529,-91.9002,3.279,1.531,0.8408,2.587,1.189e-30,1.189e-30,1.189e-30,1.189e-30,1.189e-30,1.189e-30,1.189e-30,0.1413,0.1478,0.1585,0.1747,0.1969,0.2257,0.2531,0.2817,2.854,2.902,2.956,3.013,3.091,3.169,3.271,3.376,3.504,3.618,3.736,3.855,4.026,4.176,NaN,NaN,NaN,8.053e-10,7.772e-10,7.49e-10,7.209e-10,6.928e-10,6.365e-10,5.802e-10,5.574e-10,5.239e-10,4.723e-10,4.406e-10,4.147e-10,3.851e-10,3.421e-10,2.642e-10,1.476e-10,6.553e-11,5.129e-11,4.161e-11,3.116e-11,2.157e-11,1.421e-11,1.222e-11,1.352e-11,1.621e-11,1.732e-11,1.992e-11,3.01e-11,5.794e-11,NaN,1020,1015,1010,1005,1000,990,980,976.1,970,960,945,925,900,875,850,825,800,770,740,700,660,610,560,500,450,400,350,280,200,NaN,1e-30,1e-30,1e-30,1e-30,1e-30,1e-30,1e-30,0.1188,0.1243,0.1333,0.1469,0.1656,0.1897,0.2128,0.2369,2.4,2.44,2.486,2.533,2.599,2.665,2.75,2.839,2.946,3.042,3.142,3.242,3.385,3.511,NaN,0.301,825,0.7,NaN,NaN,NaN,NaN,976.1,37.85,38.23,38.42,38.05,-92.44,-91.36,-91.45,-92.54,0.0207,0.9826,46.17,2,NaN,-158.5,20.69,4.164e+04,242,983,0.037,6.111e+08,67.64,63.15,0,0
4,0,38.2665,-91.9574,3.28,1.556,0.7817,2.608,1.279e-30,1.279e-30,1.279e-30,1.279e-30,1.279e-30,1.279e-30,0.1435,0.1437,0.1544,0.1653,0.1819,0.2045,0.2338,0.2616,0.2907,3.111,3.119,3.17,3.227,3.286,3.368,3.45,3.556,3.666,3.8,3.92,4.043,4.168,4.348,4.503,NaN,NaN,7.986e-10,7.749e-10,7.513e-10,7.277e-10,7.041e-10,6.569e-10,6.107e-10,6.096e-10,5.624e-10,5.228e-10,4.948e-10,4.67e-10,4.229e-10,3.674e-10,2.846e-10,1.708e-10,1.547e-10,6.417e-11,5.103e-11,4.109e-11,3.049e-11,2.124e-11,1.419e-11,1.196e-11,1.302e-11,1.524e-11,1.6e-11,1.847e-11,2.898e-11,5.767e-11,1020,1015,1010,1005,1000,990,980.2,980,970,960,945,925,900,875,850,829,825,800,770,740,700,660,610,560,500,450,400,350,280,200,1e-30,1e-30,1e-30,1e-30,1e-30,1e-30,0.1121,0.1123,0.1207,0.1293,0.1422,0.1599,0.1827,0.2045,0.2272,2.432,2.438,2.478,2.522,2.569,2.633,2.697,2.78,2.866,2.971,3.064,3.161,3.258,3.399,3.52,0.319,829,0.716,NaN,NaN,NaN,NaN,980.2,37.96,38.35,38.53,38.16,-92.5,-91.41,-91.5,-92.6,0.02072,0.9873,46.36,2,NaN,-158.8,20.78,4.164e+04,259,981,0.037,6.111e+08,67.59,63.15,0,0
5,0,38.3801,-92.0147,3.278,1.56,0.7789,2.438,1.284e-30,1.284e-30,1.284e-30,1.284e-30,1.284e-30,1.284e-30,0.1748,0.1793,0.1923,0.2056,0.2256,0.253,0.2885,0.3223,0.3574,2.943,2.972,3.027,3.09,3.156,3.247,3.337,3.454,3.574,3.72,3.85,3.983,4.119,4.313,4.486,NaN,NaN,9.032e-10,8.756e-10,8.481e-10,8.206e-10,7.93e-10,7.379e-10,7.019e-10,6.829e-10,6.281e-10,5.915e-10,5.609e-10,5.21e-10,4.443e-10,3.699e-10,2.886e-10,2.219e-10,1.661e-10,6.71e-11,5.178e-11,4.108e-11,3.04e-11,2.122e-11,1.425e-11,1.185e-11,1.25e-11,1.404e-11,1.481e-11,1.725e-11,2.814e-11,5.8e-11,1020,1015,1010,1005,1000,990,983.5,980,970,960,945,925,900,875,850,838,825,800,770,740,700,660,610,560,500,450,400,350,280,200,1e-30,1e-30,1e-30,1e-30,1e-30,1e-30,0.1362,0.1397,0.1498,0.1601,0.1757,0.1971,0.2248,0.251,0.2784,2.292,2.315,2.358,2.407,2.458,2.529,2.599,2.69,2.784,2.898,2.999,3.103,3.208,3.36,3.494,0.268,838,0.657,NaN,NaN,NaN,NaN,983.5,38.07,38.46,38.65,38.27,-92.55,-91.47,-91.56,-92.66,0.02103,0.9333,46.54,2,NaN,-159,20.87,4.164e+04,195,989,0.039,6.111e+08,67.54,63.15,0,0
6,0,38.4937,-92.0723,3.274,1.492,0.6844,2.27,1.461e-30,1.461e-30,1.461e-30,1.461e-30,1.461e-30,1.461e-30,0.2604,0.2681,0.2861,0.3046,0.3325,0.3707,0.4201,0.467,0.5158,0.5669,3.168,3.22,3.3,3.383,3.498,3.611,3.759,3.911,4.095,4.256,4.423,4.592,4.834,5.055,NaN,NaN,1.327e-09,1.27e-09,1.213e-09,1.156e-09,1.099e-09,9.848e-10,9.188e-10,8.707e-10,7.587e-10,6.968e-10,6.469e-10,5.767e-10,4.526e-10,3.643e-10,2.777e-10,1.507e-10,1.215e-10,6.918e-11,5.243e-11,4.149e-11,3.059e-11,2.131e-11,1.433e-11,1.185e-11,1.219e-11,1.303e-11,1.381e-11,1.619e-11,2.841e-11,5.946e-11,1020,1015,1010,1005,1000,990,984.4,980,970,960,945,925,900,875,850,825,818,800,770,740,700,660,610,560,500,450,400,350,280,200,1e-30,1e-30,1e-30,1e-30,1e-30,1e-30,0.1782,0.1835,0.1958,0.2085,0.2275,0.2537,0.2875,0.3196,0.353,0.3879,2.168,2.204,2.258,2.315,2.394,2.472,2.572,2.676,2.802,2.913,3.027,3.142,3.308,3.46,0.203,818,0.578,NaN,NaN,NaN,NaN,984.4,38.18,38.58,38.76,38.38,-92.61,-91.53,-91.62,-92.72,0.02329,0.7096,46.72,2,NaN,-159.2,20.97,4.164e+04,212,987,0.039,6.111e+08,67.49,63.15,0,0
7,0,38.6072,-92.1301,3.273,1.474,0.6579,2.168,1.52e-30,1.52e-30,1.52e-30,1.52e-30,1.52e-30,1.52e-30,0.3105,0.3174,0.338,0.3593,0.3913,0.4352,0.4921,0.546,0.6022,0.661,3.203,3.213,3.301,3.393,3.52,3.644,3.806,3.973,4.175,4.352,4.533,4.718,4.984,5.228,1.764e+15,5.351e+14,1.662e-09,1.583e-09,1.504e-09,1.425e-09,1.345e-09,1.187e-09,1.079e-09,1.028e-09,8.725e-10,7.843e-10,7.171e-10,6.249e-10,4.683e-10,3.614e-10,2.642e-10,1.336e-10,7.407e-11,6.826e-11,5.261e-11,4.192e-11,3.069e-11,2.147e-11,1.459e-11,1.205e-11,1.208e-11,1.259e-11,1.347e-11,1.555e-11,2.892e-11,6.176e-11,1020,1015,1010,1005,1000,990,983.3,980,970,960,945,925,900,875,850,825,803,800,770,740,700,660,610,560,500,450,400,350,280,200,1e-30,1e-30,1e-30,1e-30,1e-30,1e-30,0.2043,0.2088,0.2224,0.2364,0.2575,0.2864,0.3238,0.3592,0.3962,0.4349,2.108,2.114,2.172,2.232,2.316,2.398,2.504,2.614,2.747,2.863,2.983,3.104,3.279,3.44,0.182,803,0.532,4.694e+15,3.907e+15,7.874e+14,9.75e+14,983.3,38.3,38.69,38.87,38.5,-92.67,-91.58,-91.68,-92.77,0.02451,0.6633,46.9,2,1.45e+16,-159.5,21.06,4.164e+04,210,987,0.044,6.111e+08,67.44,63.15,0,0
8,0,38.7206,-92.1881,3.274,1.463,0.6521,2.203,1.534e-30,1.534e-30,1.534e-30,1.534e-30,1.534e-30,1.534e-30,0.3086,0.312,0.3323,0.3533,0.3848,0.4281,0.484,0.5372,0.5927,0.6507,0.7112,3.286,3.365,3.457,3.583,3.707,3.869,4.035,4.236,4.412,4.592,4.777,5.042,5.285,2.905e+15,8.597e+14,1.756e-09,1.673e-09,1.591e-09,1.508e-09,1.425e-09,1.259e-09,1.12e-09,1.093e-09,9.29e-10,8.189e-10,7.429e-10,6.422e-10,4.788e-10,3.512e-10,2.462e-10,1.294e-10,6.652e-11,6.506e-11,5.303e-11,4.251e-11,3.07e-11,2.168e-11,1.499e-11,1.238e-11,1.202e-11,1.248e-11,1.35e-11,1.506e-11,2.982e-11,6.533e-11,1020,1015,1010,1005,1000,990,981.7,980,970,960,945,925,900,875,850,825,800,797,770,740,700,660,610,560,500,450,400,350,280,200,1e-30,1e-30,1e-30,1e-30,1e-30,1e-30,0.2012,0.2034,0.2167,0.2304,0.2509,0.2791,0.3156,0.3503,0.3865,0.4243,0.4638,2.143,2.194,2.254,2.337,2.418,2.523,2.631,2.763,2.877,2.995,3.115,3.288,3.446,0.188,797,0.543,5.21e+15,3.915e+15,1.295e+15,1.019e+15,981.7,38.41,38.8,38.99,38.61,-92.73,-91.64,-91.73,-92.83,0.02478,0.4964,47.07,2,1.526e+16,-159.7,21.15,4.164e+04,214,986,0.044,6.111e+08,67.39,63.15,0,0
9,0,38.8341,-92.2462,3.274,1.512,0.7145,2.177,1.399e-30,1.399e-30,1.399e-30,1.399e-30,1.399e-30,1.399e-30,0.3321,0.3334,0.3523,0.3717,0.4011,0.4413,0.4933,0.5427,0.5943,0.6482,2.931,2.978,3.059,3.143,3.26,3.374,3.523,3.676,3.861,4.021,4.186,4.356,4.598,4.82,2.103e+15,6.901e+14,1.893e-09,1.801e-09,1.709e-09,1.617e-09,1.525e-09,1.34e-09,1.168e-09,1.156e-09,9.73e-10,8.433e-10,7.609e-10,6.528e-10,4.744e-10,3.378e-10,2.257e-10,1.303e-10,1.03e-10,6.744e-11,5.425e-11,4.332e-11,3.076e-11,2.179e-11,1.52e-11,1.255e-11,1.199e-11,1.246e-11,1.36e-11,1.489e-11,3.09e-11,6.885e-11,1020,1015,1010,1005,1000,990,980.7,980,970,960,945,925,900,875,850,825,816,800,770,740,700,660,610,560,500,450,400,350,280,200,1e-30,1e-30,1e-30,1e-30,1e-30,1e-30,0.2373,0.2382,0.2517,0.2656,0.2866,0.3153,0.3525,0.3878,0.4246,0.4632,2.094,2.128,2.186,2.246,2.33,2.411,2.517,2.626,2.759,2.873,2.991,3.112,3.286,3.444,0.179,816,0.527,4.917e+15,3.924e+15,9.935e+14,1.029e+15,980.7,38.52,38.92,39.1,38.72,-92.79,-91.7,-91.79,-92.89,0.03012,0.6673,47.25,2,1.49e+16,-159.9,21.25,4.164e+04,259,981,0.044,6.111e+08,67.34,63.15,0,0
