SiteName,St Louis MO
SiteLongitude,-90.3500
SiteLatitude,38.6500
StartDate,EndDate,BEHRNO2
2014-03-01,2014-03-31,4.999e+15
2014-04-01,2014-04-30,4.967e+15
2014-05-01,2014-05-31,4.759e+15
2014-06-01,2014-06-30,2.914e+15
2014-07-01,2014-07-31,2.809e+15
2014-08-01,2014-08-31,5.146e+15
2014-09-01,2014-09-30,4.411e+15
2014-10-01,2014-10-31,6.278e+15
2014-11-01,2014-11-30,7.041e+15
2014-12-01,2014-12-31,4.833e+15
2015-01-01,2015-01-31,4.695e+15
2015-02-01,2015-02-28,4.426e+15
2015-03-01,2015-03-31,4.767e+15
2015-04-01,2015-04-30,5.252e+15
2015-05-01,2015-05-31,3.752e+15
2015-06-01,2015-06-30,3.982e+15
2015-07-01,2015-07-31,3.419e+15
2015-08-01,2015-08-31,4.738e+15
2015-09-01,2015-09-30,4.916e+15
2015-10-01,2015-10-31,5.255e+15
2015-11-01,2015-11-30,4.951e+15
2015-12-01,2015-12-31,5.626e+15
